ImageName,count
20240424_manuel_lessi_0132_ScanRegion2_rep_1_channel_1,194410
20240424_manuel_lessi_0132_ScanRegion1_rep_0_channel_1,128250
20240424_manuel_lessi_0135_ScanRegion2_rep_2_channel_1,111757
20240424_manuel_lessi_0135_ScanRegion2_rep_1_channel_1,102616
20240424_manuel_lessi_0132_ScanRegion1_rep_1_channel_1,92340
20240424_manuel_lessi_0135_ScanRegion3_rep_2_channel_1,89312
20240424_manuel_lessi_0135_ScanRegion0_rep_0_channel_1,87062
20240424_manuel_lessi_0129_ScanRegion5_rep_1_channel_1,79266
20240424_manuel_lessi_0132_ScanRegion4_rep_0_channel_1,79123
20240424_manuel_lessi_0131_ScanRegion0_rep_0_channel_1,75915
20240424_manuel_lessi_0135_ScanRegion0_rep_1_channel_1,73179
20240424_manuel_lessi_0134_ScanRegion7_rep_3_channel_1,72679
20240424_manuel_lessi_0132_ScanRegion5_rep_1_channel_1,72165
20240424_manuel_lessi_0135_ScanRegion0_rep_2_channel_1,70598
20240424_manuel_lessi_0132_ScanRegion3_rep_0_channel_1,70503
20240424_manuel_lessi_0128_ScanRegion0_rep_0_channel_1,70479
20240424_manuel_lessi_0133_ScanRegion0_rep_0_channel_1,69681
20240424_manuel_lessi_0128_ScanRegion2_rep_2_channel_1,68825
20240424_manuel_lessi_0132_ScanRegion2_rep_0_channel_1,65200
20240424_manuel_lessi_0129_ScanRegion3_rep_2_channel_1,62393
20240424_manuel_lessi_0132_ScanRegion5_rep_0_channel_1,61473
20240424_manuel_lessi_0130_ScanRegion3_rep_0_channel_1,60277
20240424_manuel_lessi_0131_ScanRegion5_rep_1_channel_1,59825
20240424_manuel_lessi_0129_ScanRegion5_rep_2_channel_1,58504
20240424_manuel_lessi_0129_ScanRegion5_rep_0_channel_1,55824
20240424_manuel_lessi_0131_ScanRegion2_rep_2_channel_1,55563
20240424_manuel_lessi_0134_ScanRegion2_rep_2_channel_1,54944
20240424_manuel_lessi_0130_ScanRegion2_rep_1_channel_1,54724
20240424_manuel_lessi_0130_ScanRegion3_rep_1_channel_1,54110
20240424_manuel_lessi_0134_ScanRegion0_rep_0_channel_1,54097
20240424_manuel_lessi_0131_ScanRegion5_rep_0_channel_1,52956
20240424_manuel_lessi_0131_ScanRegion0_rep_1_channel_1,52451
20240424_manuel_lessi_0134_ScanRegion3_rep_0_channel_1,50144
20240424_manuel_lessi_0134_ScanRegion0_rep_2_channel_1,50003
20240424_manuel_lessi_0134_ScanRegion3_rep_2_channel_1,48939
20240424_manuel_lessi_0132_ScanRegion3_rep_2_channel_1,48396
20240424_manuel_lessi_0133_ScanRegion3_rep_0_channel_1,47582
20240424_manuel_lessi_0133_ScanRegion0_rep_2_channel_1,46684
20240424_manuel_lessi_0135_ScanRegion1_rep_1_channel_1,45262
20240424_manuel_lessi_0131_ScanRegion5_rep_2_channel_1,45127
20240424_manuel_lessi_0135_ScanRegion3_rep_1_channel_1,44953
20240424_manuel_lessi_0128_ScanRegion5_rep_2_channel_1,44878
20240424_manuel_lessi_0130_ScanRegion3_rep_2_channel_1,44660
20240424_manuel_lessi_0131_ScanRegion2_rep_0_channel_1,43655
20240424_manuel_lessi_0131_ScanRegion3_rep_0_channel_1,43389
20240424_manuel_lessi_0131_ScanRegion4_rep_0_channel_1,43161
20240424_manuel_lessi_0133_ScanRegion0_rep_1_channel_1,42864
20240424_manuel_lessi_0132_ScanRegion5_rep_2_channel_1,42766
20240424_manuel_lessi_0128_ScanRegion4_rep_0_channel_1,42538
20240424_manuel_lessi_0130_ScanRegion0_rep_0_channel_1,41176
20240424_manuel_lessi_0132_ScanRegion3_rep_1_channel_1,39112
20240424_manuel_lessi_0131_ScanRegion4_rep_1_channel_1,38346
20240424_manuel_lessi_0128_ScanRegion5_rep_0_channel_1,36668
20240424_manuel_lessi_0134_ScanRegion7_rep_0_channel_1,36423
20240424_manuel_lessi_0134_ScanRegion2_rep_0_channel_1,36257
20240424_manuel_lessi_0131_ScanRegion0_rep_2_channel_1,35739
20240424_manuel_lessi_0135_ScanRegion2_rep_0_channel_1,35357
20240424_manuel_lessi_0131_ScanRegion4_rep_2_channel_1,33055
20240424_manuel_lessi_0129_ScanRegion2_rep_1_channel_1,32605
20240424_manuel_lessi_0129_ScanRegion1_rep_0_channel_1,32479
20240424_manuel_lessi_0128_ScanRegion3_rep_1_channel_1,31993
20240424_manuel_lessi_0128_ScanRegion5_rep_1_channel_1,31370
20240424_manuel_lessi_0130_ScanRegion1_rep_1_channel_1,30782
20240424_manuel_lessi_0134_ScanRegion2_rep_1_channel_1,30598
20240424_manuel_lessi_0134_ScanRegion3_rep_1_channel_1,29165
20240424_manuel_lessi_0133_ScanRegion2_rep_0_channel_1,28234
20240424_manuel_lessi_0134_ScanRegion5_rep_2_channel_1,27998
20240424_manuel_lessi_0134_ScanRegion7_rep_2_channel_1,27770
20240424_manuel_lessi_0130_ScanRegion4_rep_1_channel_1,26358
20240424_manuel_lessi_0134_ScanRegion4_rep_2_channel_1,26186
20240424_manuel_lessi_0130_ScanRegion1_rep_0_channel_1,26007
20240424_manuel_lessi_0128_ScanRegion2_rep_1_channel_1,25453
20240424_manuel_lessi_0133_ScanRegion1_rep_2_channel_1,25173
20240424_manuel_lessi_0128_ScanRegion2_rep_0_channel_1,24890
20240424_manuel_lessi_0134_ScanRegion0_rep_1_channel_1,24746
20240424_manuel_lessi_0134_ScanRegion5_rep_1_channel_1,24682
20240424_manuel_lessi_0132_ScanRegion0_rep_1_channel_1,24601
20240424_manuel_lessi_0129_ScanRegion2_rep_0_channel_1,23699
20240424_manuel_lessi_0129_ScanRegion3_rep_4_channel_1,23465
20240424_manuel_lessi_0134_ScanRegion6_rep_0_channel_1,22787
20240424_manuel_lessi_0130_ScanRegion4_rep_0_channel_1,22478
20240424_manuel_lessi_0134_ScanRegion6_rep_1_channel_1,22272
20240424_manuel_lessi_0131_ScanRegion3_rep_1_channel_1,20919
20240424_manuel_lessi_0131_ScanRegion3_rep_2_channel_1,19504
20240424_manuel_lessi_0130_ScanRegion0_rep_1_channel_1,19128
20240424_manuel_lessi_0128_ScanRegion1_rep_0_channel_1,18479
20240424_manuel_lessi_0134_ScanRegion4_rep_1_channel_1,18423
20240424_manuel_lessi_0135_ScanRegion3_rep_0_channel_1,17676
20240424_manuel_lessi_0133_ScanRegion2_rep_1_channel_1,17407
20240424_manuel_lessi_0128_ScanRegion4_rep_1_channel_1,17120
20240424_manuel_lessi_0134_ScanRegion4_rep_0_channel_1,16418
20240424_manuel_lessi_0134_ScanRegion5_rep_0_channel_1,14547
20240424_manuel_lessi_0129_ScanRegion3_rep_1_channel_1,14032
20240424_manuel_lessi_0135_ScanRegion1_rep_0_channel_1,13496
20240424_manuel_lessi_0129_ScanRegion2_rep_2_channel_1,13307
20240424_manuel_lessi_0129_ScanRegion4_rep_1_channel_1,12551
20240424_manuel_lessi_0134_ScanRegion1_rep_0_channel_1,12349
20240424_manuel_lessi_0134_ScanRegion1_rep_1_channel_1,12207
20240424_manuel_lessi_0129_ScanRegion0_rep_2_channel_1,12038
20240424_manuel_lessi_0128_ScanRegion3_rep_0_channel_1,11258
20240424_manuel_lessi_0132_ScanRegion4_rep_1_channel_1,10935
20240424_manuel_lessi_0129_ScanRegion0_rep_1_channel_1,10615
20240424_manuel_lessi_0128_ScanRegion0_rep_1_channel_1,9836
20240424_manuel_lessi_0129_ScanRegion3_rep_3_channel_1,9818
20240424_manuel_lessi_0129_ScanRegion1_rep_1_channel_1,7889
20240424_manuel_lessi_0133_ScanRegion2_rep_2_channel_1,7832
20240424_manuel_lessi_0130_ScanRegion2_rep_2_channel_1,7446
20240424_manuel_lessi_0132_ScanRegion0_rep_0_channel_1,6943
20240424_manuel_lessi_0133_ScanRegion4_rep_2_channel_1,6712
20240424_manuel_lessi_0130_ScanRegion2_rep_0_channel_1,6134
20240424_manuel_lessi_0131_ScanRegion1_rep_0_channel_1,5646
20240424_manuel_lessi_0133_ScanRegion4_rep_0_channel_1,5637
20240424_manuel_lessi_0129_ScanRegion1_rep_2_channel_1,5186
20240424_manuel_lessi_0133_ScanRegion1_rep_1_channel_1,5061
20240424_manuel_lessi_0133_ScanRegion3_rep_1_channel_1,4878
20240424_manuel_lessi_0133_ScanRegion4_rep_1_channel_1,4832
20240424_manuel_lessi_0128_ScanRegion1_rep_1_channel_1,4685
20240424_manuel_lessi_0129_ScanRegion3_rep_0_channel_1,4465
20240424_manuel_lessi_0129_ScanRegion0_rep_0_channel_1,4420
20240424_manuel_lessi_0135_ScanRegion1_rep_2_channel_1,4320
20240424_manuel_lessi_0134_ScanRegion6_rep_2_channel_1,4246
20240424_manuel_lessi_0133_ScanRegion1_rep_0_channel_1,2649
20240424_manuel_lessi_0131_ScanRegion2_rep_1_channel_1,2185
20240424_manuel_lessi_0129_ScanRegion4_rep_2_channel_1,1405
20240424_manuel_lessi_0133_ScanRegion3_rep_2_channel_1,1195
20240424_manuel_lessi_0130_ScanRegion0_rep_2_channel_1,1122
20240424_manuel_lessi_0129_ScanRegion4_rep_0_channel_1,881
20240424_manuel_lessi_0134_ScanRegion7_rep_1_channel_1,1
