ImageName,count
20240424_manuel_lessi_0137_ScanRegion2_rep_0_channel_1,18131
20240424_manuel_lessi_0137_ScanRegion5_rep_1_channel_1,17278
20240424_manuel_lessi_0138_ScanRegion1_rep_1_channel_1,16855
20240424_manuel_lessi_0142_ScanRegion0_rep_1_channel_1,16648
20240424_manuel_lessi_0138_ScanRegion3_rep_1_channel_1,15879
20240424_manuel_lessi_0139_ScanRegion2_rep_1_channel_1,15489
20240424_manuel_lessi_0143_ScanRegion3_rep_2_channel_1,14854
20240424_manuel_lessi_0137_ScanRegion4_rep_0_channel_1,10680
20240424_manuel_lessi_0138_ScanRegion3_rep_3_channel_1,10601
20240424_manuel_lessi_0138_ScanRegion4_rep_1_channel_1,9942
20240424_manuel_lessi_0144_ScanRegion3_rep_0_channel_1,9638
20240424_manuel_lessi_0141_ScanRegion3_rep_1_channel_1,9105
20240424_manuel_lessi_0138_ScanRegion4_rep_2_channel_1,8596
20240424_manuel_lessi_0138_ScanRegion0_rep_2_channel_1,8122
20240424_manuel_lessi_0142_ScanRegion0_rep_2_channel_1,7470
20240424_manuel_lessi_0139_ScanRegion0_rep_1_channel_1,6859
20240424_manuel_lessi_0140_ScanRegion2_rep_0_channel_1,6079
20240424_manuel_lessi_0144_ScanRegion2_rep_0_channel_1,5599
20240424_manuel_lessi_0142_ScanRegion3_rep_1_channel_1,4880
20240424_manuel_lessi_0139_ScanRegion0_rep_0_channel_1,4711
20240424_manuel_lessi_0137_ScanRegion2_rep_1_channel_1,4165
20240424_manuel_lessi_0141_ScanRegion5_rep_0_channel_1,3759
20240424_manuel_lessi_0142_ScanRegion4_rep_1_channel_1,3239
20240424_manuel_lessi_0140_ScanRegion5_rep_1_channel_1,3000
20240424_manuel_lessi_0141_ScanRegion5_rep_1_channel_1,2457
20240424_manuel_lessi_0142_ScanRegion2_rep_0_channel_1,2437
20240424_manuel_lessi_0142_ScanRegion2_rep_1_channel_1,2365
20240424_manuel_lessi_0142_ScanRegion2_rep_2_channel_1,2340
20240424_manuel_lessi_0144_ScanRegion2_rep_2_channel_1,1495
20240424_manuel_lessi_0139_ScanRegion2_rep_2_channel_1,878
20240424_manuel_lessi_0142_ScanRegion3_rep_2_channel_1,570
20240424_manuel_lessi_0138_ScanRegion0_rep_1_channel_1,512
20240424_manuel_lessi_0142_ScanRegion2_rep_3_channel_1,68
