Reference Image Report,general QC (keep or not)
20240424_manuel_lessi_0141_ScanRegion4_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0141_ScanRegion4_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0141_ScanRegion5_rep_0_channel_1.pdf,no
20240424_manuel_lessi_0141_ScanRegion5_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0141_ScanRegion5_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion0_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion0_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion0_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion1_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion1_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion1_rep_2_channel_1.pdf,no
20240424_manuel_lessi_0142_ScanRegion2_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion2_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion2_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion2_rep_3_channel_1.pdf,no
20240424_manuel_lessi_0142_ScanRegion3_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion3_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0142_ScanRegion3_rep_2_channel_1.pdf,better not
20240424_manuel_lessi_0142_ScanRegion4_rep_0_channel_1.pdf,no
20240424_manuel_lessi_0142_ScanRegion4_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion0_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion0_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion0_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion1_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion1_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion1_rep_2_channel_1.pdf,no
20240424_manuel_lessi_0143_ScanRegion2_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion2_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion2_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion3_rep_0_channel_1.pdf,no
20240424_manuel_lessi_0143_ScanRegion3_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion3_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion4_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion4_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion4_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion5_rep_0_channel_1.pdf,better not
20240424_manuel_lessi_0143_ScanRegion5_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0143_ScanRegion5_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0144_ScanRegion0_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0144_ScanRegion0_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0144_ScanRegion0_rep_2_channel_1.pdf,yes 
20240424_manuel_lessi_0144_ScanRegion1_rep_0_channel_1.pdf,yes 
20240424_manuel_lessi_0144_ScanRegion1_rep_1_channel_1.pdf,better not
20240424_manuel_lessi_0144_ScanRegion1_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0144_ScanRegion2_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0144_ScanRegion2_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0144_ScanRegion2_rep_2_channel_1.pdf,no
20240424_manuel_lessi_0144_ScanRegion3_rep_0_channel_1.pdf,yes
20240424_manuel_lessi_0144_ScanRegion3_rep_1_channel_1.pdf,yes
20240424_manuel_lessi_0144_ScanRegion3_rep_2_channel_1.pdf,yes
20240424_manuel_lessi_0145_ScanRegion0_rep_0_channel_1.pdf,no
20240424_manuel_lessi_0145_ScanRegion0_rep_1_channel_1.pdf,no
20240424_manuel_lessi_0145_ScanRegion1_rep_0_channel_1.pdf,no
20240424_manuel_lessi_0145_ScanRegion1_rep_1_channel_1.pdf,better not
20240424_manuel_lessi_0145_ScanRegion1_rep_2_channel_1.pdf,better not
20240424_manuel_lessi_0145_ScanRegion2_rep_0_channel_1.pdf,better not
20240424_manuel_lessi_0145_ScanRegion2_rep_1_channel_1.pdf,better not
20240424_manuel_lessi_0145_ScanRegion2_rep_2_channel_1.pdf,no
20240424_manuel_lessi_0145_ScanRegion3_rep_0_channel_1.pdf,no
20240424_manuel_lessi_0145_ScanRegion3_rep_1_channel_1.pdf,no
20240424_manuel_lessi_0145_ScanRegion3_rep_2_channel_1.pdf,Limit
20240424_manuel_lessi_0146_ScanRegion1_rep_0_channel_1.pdf,No
20240424_manuel_lessi_0146_ScanRegion1_rep_1_channel_1.pdf,No
20240424_manuel_lessi_0147_ScanRegion0_rep_0_channel_1.pdf,Limit
20240424_manuel_lessi_0147_ScanRegion0_rep_1_channel_1.pdf,Limit
20240424_manuel_lessi_0147_ScanRegion1_rep_0_channel_1.pdf,Limit
20240424_manuel_lessi_0147_ScanRegion1_rep_1_channel_1.pdf,Yes
20240424_manuel_lessi_0147_ScanRegion1_rep_2_channel_1.pdf,Yes
20240424_manuel_lessi_0148_ScanRegion0_rep_0_channel_1.pdf,Yes
20240424_manuel_lessi_0148_ScanRegion0_rep_1_channel_1.pdf,Yes
20240424_manuel_lessi_0148_ScanRegion0_rep_2_channel_1.pdf,Yes
20240424_manuel_lessi_0148_ScanRegion1_rep_0_channel_1.pdf,Limit
20240424_manuel_lessi_0148_ScanRegion1_rep_1_channel_1.pdf,Limit
