Reference Image Report,general QC (keep or not)
20240424_manuel_lessi_0132_ScanRegion3_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion3_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion4_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion5_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion5_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion5_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion0_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion0_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion1_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion1_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion1_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion2_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion2_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0133_ScanRegion3_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion3_rep_1_channel_2.pdf,no
20240424_manuel_lessi_0133_ScanRegion3_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0133_ScanRegion4_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0133_ScanRegion4_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0134_ScanRegion0_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0134_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0134_ScanRegion0_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0134_ScanRegion1_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0134_ScanRegion1_rep_1_channel_2.pdf,limit
20240424_manuel_lessi_0134_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0134_ScanRegion2_rep_1_channel_2.pdf,limit
20240424_manuel_lessi_0134_ScanRegion2_rep_2_channel_2.pdf,limit
20240424_manuel_lessi_0134_ScanRegion3_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0134_ScanRegion3_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0134_ScanRegion4_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0134_ScanRegion5_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0134_ScanRegion6_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0134_ScanRegion6_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0134_ScanRegion7_rep_3_channel_2.pdf,yes
20240424_manuel_lessi_0135_ScanRegion0_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0135_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0135_ScanRegion0_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0135_ScanRegion1_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0135_ScanRegion1_rep_1_channel_2.pdf,limit
20240424_manuel_lessi_0135_ScanRegion1_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0135_ScanRegion2_rep_0_channel_2.pdf,yes 
20240424_manuel_lessi_0135_ScanRegion2_rep_1_channel_2.pdf,not sure
20240424_manuel_lessi_0135_ScanRegion2_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0135_ScanRegion3_rep_0_channel_2.pdf,not sure
20240424_manuel_lessi_0135_ScanRegion3_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0135_ScanRegion3_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0136_ScanRegion0_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0136_ScanRegion0_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0136_ScanRegion0_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0136_ScanRegion0_rep_2_channel_2.pdf,limit
20240424_manuel_lessi_0136_ScanRegion1_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0136_ScanRegion1_rep_1_channel_2.pdf,limit
20240424_manuel_lessi_0136_ScanRegion2_rep_0_channel_2.pdf,not sure
20240424_manuel_lessi_0136_ScanRegion2_rep_1_channel_2.pdf,not sure
20240424_manuel_lessi_0136_ScanRegion2_rep_2_channel_2.pdf,not sure
20240424_manuel_lessi_0136_ScanRegion3_rep_0_channel_2.pdf,not sure
20240424_manuel_lessi_0136_ScanRegion3_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0136_ScanRegion3_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0137_ScanRegion0_rep_0_channel_2.pdf,limit
20240424_manuel_lessi_0137_ScanRegion1_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0137_ScanRegion1_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0137_ScanRegion1_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0137_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0137_ScanRegion2_rep_1_channel_2.pdf,not sure
20240424_manuel_lessi_0137_ScanRegion3_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0137_ScanRegion3_rep_1_channel_2.pdf,no
20240424_manuel_lessi_0137_ScanRegion3_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0137_ScanRegion4_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0137_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0137_ScanRegion5_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0137_ScanRegion5_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0138_ScanRegion0_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0138_ScanRegion0_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion0_rep_2_channel_2.pdf,No
20240424_manuel_lessi_0138_ScanRegion1_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion1_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0138_ScanRegion1_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion2_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion2_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion2_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion3_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion3_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion3_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion3_rep_3_channel_2.pdf,Yes
20240424_manuel_lessi_0138_ScanRegion4_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0138_ScanRegion4_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0138_ScanRegion4_rep_2_channel_2.pdf,No
20240424_manuel_lessi_0138_ScanRegion5_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0138_ScanRegion5_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0138_ScanRegion5_rep_2_channel_2.pdf,No
20240424_manuel_lessi_0139_ScanRegion0_rep_0_channel_2,yes
20240424_manuel_lessi_0139_ScanRegion0_rep_1_channel_2,yes
20240424_manuel_lessi_0139_ScanRegion0_rep_2_channel_2,limit
20240424_manuel_lessi_0139_ScanRegion1_rep_0_channel_2,limit
20240424_manuel_lessi_0139_ScanRegion1_rep_1_channel_2,limit
20240424_manuel_lessi_0139_ScanRegion2_rep_0_channel_2,yes
20240424_manuel_lessi_0139_ScanRegion2_rep_1_channel_2,limit
20240424_manuel_lessi_0139_ScanRegion2_rep_2_channel_2,limit
20240424_manuel_lessi_0139_ScanRegion3_rep_0_channel_2,yes
20240424_manuel_lessi_0139_ScanRegion3_rep_1_channel_2,yes
20240424_manuel_lessi_0139_ScanRegion3_rep_2_channel_2,yes
20240424_manuel_lessi_0139_ScanRegion4_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0139_ScanRegion4_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0140_ScanRegion0_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0140_ScanRegion0_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0140_ScanRegion0_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0140_ScanRegion1_rep_0_channel_2.pdf,not sure
20240424_manuel_lessi_0140_ScanRegion1_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0140_ScanRegion1_rep_2_channel_2.pdf,Limit
20240424_manuel_lessi_0140_ScanRegion2_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0140_ScanRegion3_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0140_ScanRegion3_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0140_ScanRegion3_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0140_ScanRegion4_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0140_ScanRegion4_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0140_ScanRegion4_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0140_ScanRegion5_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0140_ScanRegion5_rep_1_channel_2.pdf,not sure
20240424_manuel_lessi_0140_ScanRegion5_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion0_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion0_rep_2_channel_2.pdf,limit
20240424_manuel_lessi_0141_ScanRegion1_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0141_ScanRegion1_rep_1_channel_2.pdf,no
20240424_manuel_lessi_0141_ScanRegion2_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0141_ScanRegion2_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion2_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0141_ScanRegion3_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion3_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion4_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion5_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0141_ScanRegion5_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0141_ScanRegion5_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion0_rep_0_channel_2.pdf,limit
20240424_manuel_lessi_0142_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion0_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion1_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion1_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion1_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion2_rep_1_channel_2.pdf,no
20240424_manuel_lessi_0142_ScanRegion2_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion2_rep_3_channel_2.pdf,no
20240424_manuel_lessi_0142_ScanRegion3_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion3_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0142_ScanRegion3_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0142_ScanRegion4_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0142_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0143_ScanRegion0_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0143_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0143_ScanRegion0_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0143_ScanRegion1_rep_0_channel_2.pdf,limit
20240424_manuel_lessi_0143_ScanRegion1_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0143_ScanRegion1_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0143_ScanRegion2_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0143_ScanRegion2_rep_1_channel_2.pdf,no
20240424_manuel_lessi_0143_ScanRegion2_rep_2_channel_2.pdf,Limit
20240424_manuel_lessi_0143_ScanRegion3_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0143_ScanRegion3_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0143_ScanRegion3_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0143_ScanRegion4_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0143_ScanRegion4_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0143_ScanRegion4_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0143_ScanRegion5_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0143_ScanRegion5_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0143_ScanRegion5_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion0_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion0_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion0_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion1_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion1_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion1_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion2_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion2_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion2_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion3_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion3_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0144_ScanRegion3_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0145_ScanRegion0_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0145_ScanRegion0_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0145_ScanRegion1_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0145_ScanRegion1_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0145_ScanRegion1_rep_2_channel_2.pdf,No
20240424_manuel_lessi_0145_ScanRegion2_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0145_ScanRegion2_rep_1_channel_2.pdf,Limit
20240424_manuel_lessi_0145_ScanRegion2_rep_2_channel_2.pdf,Limit
20240424_manuel_lessi_0145_ScanRegion3_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0145_ScanRegion3_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0145_ScanRegion3_rep_2_channel_2.pdf,Limit
20240424_manuel_lessi_0146_ScanRegion1_rep_0_channel_2.pdf,No
20240424_manuel_lessi_0146_ScanRegion1_rep_1_channel_2.pdf,No
20240424_manuel_lessi_0147_ScanRegion0_rep_0_channel_2.pdf,Limit
20240424_manuel_lessi_0147_ScanRegion0_rep_1_channel_2.pdf,Limit
20240424_manuel_lessi_0147_ScanRegion1_rep_0_channel_2.pdf,Yes
20240424_manuel_lessi_0147_ScanRegion1_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0147_ScanRegion1_rep_2_channel_2.pdf,Yes
20240424_manuel_lessi_0148_ScanRegion0_rep_0_channel_2.pdf,Limit
20240424_manuel_lessi_0148_ScanRegion0_rep_1_channel_2.pdf,Yes
20240424_manuel_lessi_0148_ScanRegion0_rep_2_channel_2.pdf,Limit
20240424_manuel_lessi_0148_ScanRegion1_rep_0_channel_2.pdf,Limit
20240424_manuel_lessi_0148_ScanRegion1_rep_1_channel_2.pdf,Limit
