Reference Image Report,general QC (keep or not)
20240424_manuel_lessi_0128_ScanRegion0_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion1_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion1_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion2_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion2_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion3_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion3_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion4_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion5_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion5_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0128_ScanRegion5_rep_2_channel_2.pdf,limit
20240424_manuel_lessi_0129_ScanRegion0_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0129_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion0_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion1_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion1_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion1_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion2_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion2_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion3_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion3_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion3_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion3_rep_3_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion3_rep_4_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion4_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion4_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion5_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion5_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0129_ScanRegion5_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion0_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion0_rep_1_channel_2.pdf,limit
20240424_manuel_lessi_0130_ScanRegion0_rep_2_channel_2.pdf,no
20240424_manuel_lessi_0130_ScanRegion1_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion1_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion2_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion2_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion3_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion3_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion3_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0130_ScanRegion4_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0130_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion0_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion0_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion1_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion2_rep_1_channel_2.pdf,no
20240424_manuel_lessi_0131_ScanRegion2_rep_2_channel_2.pdf,?
20240424_manuel_lessi_0131_ScanRegion3_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion3_rep_1_channel_2.pdf,no
20240424_manuel_lessi_0131_ScanRegion3_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion4_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion4_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion4_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion5_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0131_ScanRegion5_rep_1_channel_2.pdf,no
20240424_manuel_lessi_0131_ScanRegion5_rep_2_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion0_rep_0_channel_2.pdf,no
20240424_manuel_lessi_0132_ScanRegion0_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion1_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion1_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion2_rep_0_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion2_rep_1_channel_2.pdf,yes
20240424_manuel_lessi_0132_ScanRegion3_rep_0_channel_2.pdf,yes
