label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,1463.0,1124,1024,1167,1068,1143.9412166780587,1045.6917293233082,0.244542386259911,43.15958125315331,0.7732558139534884,44.04257940028513,42.70538518252426,1.5347037628113975,141.29646455628165,0.9779411764705882,661.3902939166097,329.0,979.0
2,652.0,407,702,432,736,419.2177914110429,719.1901840490798,0.6680131365314196,28.812361638146328,0.7670588235294118,33.40971056839014,24.86181876521136,-1.3852118901725574,94.08326112068522,0.9760479041916168,462.54294478527606,280.0,654.0
3,688.0,1121,631,1153,659,1136.8183139534883,644.5392441860465,0.5899275115368368,29.597108081327676,0.7678571428571429,32.9760389135042,26.626707403225467,-0.5155089171914942,96.08326112068524,0.9745042492917847,880.6031976744187,400.0,1359.0
4,952.0,983,920,1020,954,1000.8098739495798,936.4222689075631,0.5560933819944891,34.815571898044055,0.7567567567567568,38.22145637883015,31.76660983775684,-0.48964927177055734,113.9827560572969,0.9724208375893769,896.0808823529412,340.0,1310.0
5,554.0,1162,473,1188,500,1174.595667870036,485.47472924187724,0.3583812006637892,26.558891313141824,0.7891737891737892,27.529838958895414,25.70117875962988,-1.2617120513653275,85.59797974644667,0.9702276707530648,799.9855595667871,382.0,1120.0
6,696.0,782,1106,814,1134,796.9468390804598,1119.2169540229886,0.5461480927802511,29.768686956862464,0.7767857142857143,32.56072384130775,27.275748533599508,-0.1367634764666099,97.25483399593904,0.9653259361997226,646.1163793103449,323.0,944.0
7,967.0,1569,845,1599,888,1582.5243019648397,865.1147880041365,0.7727076367563461,35.088782249586586,0.7496124031007751,44.423301870040845,28.198227841654116,-1.1923215754498242,119.7401153701776,0.9708835341365462,794.364012409514,327.0,1338.0
8,664.0,372,687,397,723,383.8765060240964,704.7996987951807,0.7158568969448394,29.076297180076903,0.7377777777777778,34.89454160212022,24.36500974185958,1.3941958026226486,98.08326112068524,0.9581529581529582,522.7198795180723,273.0,774.0
9,759.0,1040,876,1071,908,1054.9525691699605,892.1383399209486,0.5422010862376164,31.086794856562303,0.7651209677419355,33.92187896546161,28.502816806254746,-0.7954996627835695,100.91168824543142,0.9768339768339769,666.9407114624506,338.0,928.0
10,610.0,1113,605,1142,633,1127.8967213114754,618.7590163934426,0.22052834456964168,27.868909599918855,0.7512315270935961,28.256543938493497,27.560883830228857,0.41963189211147667,90.66904755831213,0.9713375796178344,740.1081967213115,347.0,1172.0
11,704.0,1314,845,1345,874,1329.1633522727273,859.6107954545455,0.4675034859640966,29.93928254807644,0.7830923248053393,31.883970629565376,28.185150340074465,-0.46497761193479736,96.66904755831214,0.9723756906077348,694.8366477272727,342.0,998.0
12,902.0,1469,744,1505,777,1486.2139689578714,760.0731707317074,0.7301059104407476,33.88896677904354,0.7592592592592593,41.04123680642273,28.044872631504763,-0.6473484103921272,112.91168824543144,0.9709364908503767,505.2827050997783,266.0,809.0
