label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,474.0,824,2525,847,2554,835.7573839662447,2537.643459915612,0.6211469090925102,24.566553364370574,0.7106446776611695,28.02873149623409,21.965952844372147,-1.391703628908472,81.84062043356593,0.9634146341463414,1237.6729957805908,427.0,1952.0
2,1040.0,1632,2466,1663,2510,1646.4105769230769,2486.628846153846,0.7014676579960256,36.38913473173784,0.7624633431085044,43.25952871817033,30.83112180137953,-1.3721302606149164,121.39696961966999,0.9765258215962441,1357.5076923076922,577.0,2211.0
3,737.0,2015,1543,2046,1574,2029.5888738127544,1558.2659430122117,0.27177561987581056,30.632948674096244,0.7669094693028096,31.273977577885763,30.096845256257613,-0.9945051944503205,100.66904755831213,0.9633986928104575,756.8846675712348,324.0,1296.0
4,652.0,2106,784,2137,813,2120.5490797546013,797.489263803681,0.35968090438701744,28.812361638146328,0.7252502780867631,29.920968809392015,27.918519057311915,-0.2887103299271691,93.74011537017762,0.9687964338781575,796.7223926380368,365.0,1254.0
5,633.0,1627,1894,1659,1921,1641.7503949447078,1906.649289099526,0.7413350582875674,28.38944578214513,0.7326388888888888,34.70783639268678,23.293647478367273,-0.550773997093877,94.08326112068522,0.975346687211094,1108.7109004739336,504.0,1929.0
6,767.0,2448,2648,2483,2676,2464.6531942633637,2661.6049543676663,0.5811928359634272,31.25019569237719,0.7826530612244897,34.69714965009152,28.23535609153704,-0.12392140142855958,102.66904755831213,0.9672131147540983,469.6988265971317,220.0,799.0
7,972.0,2961,1911,2996,1948,2977.838477366255,1928.3930041152264,0.39514723723999345,35.17938085701024,0.7505791505791506,36.76154272194379,33.769807468318795,-0.9497529777033227,115.9827560572969,0.9671641791044776,651.1255144032922,298.0,1072.0
8,795.0,3217,1984,3248,2018,3231.8251572327044,1999.3786163522013,0.40934091969593495,31.815490536285218,0.75426944971537,33.37412815597878,30.449937289580994,-1.4447678187961928,104.32590180780451,0.9695121951219512,700.274213836478,292.0,1085.0
9,801.0,2566,971,2596,1006,2580.825218476904,987.5280898876405,0.5805044847248153,31.935323316554435,0.7628571428571429,35.850063514995625,29.191166954302165,-1.2523006427443302,107.25483399593904,0.9638989169675091,709.5168539325842,309.0,1005.0
10,699.0,1771,2600,1804,2628,1787.4105865522174,2614.7567954220317,0.6127117830316303,29.83277462405867,0.7564935064935064,33.71574288832182,26.645768773033147,-0.24859755026228048,98.66904755831213,0.9694868238557559,898.0472103004291,399.0,1429.0
11,521.0,2111,1399,2135,1426,2122.3109404990405,1412.2859884836853,0.483767221829496,25.75573339679963,0.8040123456790124,27.53738900904888,24.100632166563663,1.2211867494477144,82.18376618407356,0.9774859287054409,876.9692898272552,388.0,1337.0
12,897.0,2503,2492,2537,2525,2518.9319955406913,2507.9643255295427,0.2669599809005123,33.79490896018868,0.7994652406417112,34.51293203869824,33.260375446535875,-0.2587454803205035,110.08326112068522,0.9697297297297297,625.8528428093646,264.0,1040.0
13,585.0,1275,1911,1301,1940,1287.8188034188033,1925.0017094017094,0.5062278709204678,27.29185104880338,0.7758620689655172,29.431007708389075,25.38129392720034,-1.2738474956182366,89.01219330881976,0.9653465346534653,757.0837606837607,330.0,1257.0
14,635.0,2186,1610,2215,1637,2199.491338582677,1622.376377952756,0.46450736841942053,28.43425945768288,0.8109833971902938,30.259936739645738,26.797269622621993,-0.44315935878157414,92.18376618407358,0.9709480122324159,1045.0818897637796,373.0,2065.0
15,448.0,3316,968,3338,999,3328.0401785714284,984.0,0.7227834769748311,23.883285285767386,0.656891495601173,29.393697469095486,20.313236501269667,-1.3453195916701237,84.42640687119285,0.9372384937238494,571.0669642857143,266.0,980.0
16,594.0,1491,566,1520,592,1505.8754208754208,578.8316498316499,0.48788430764120244,27.500987065425246,0.7877984084880637,29.504197214995756,25.75445867011746,-0.1596652726287089,89.01219330881976,0.972176759410802,885.1279461279461,375.0,1390.0
17,948.0,2796,1389,2826,1431,2810.8860759493673,1410.5632911392406,0.6986837317037269,34.74235294865525,0.7523809523809524,41.261736553004,29.519911812365837,1.468675762025611,115.9827560572969,0.973305954825462,665.964135021097,165.0,1274.0
18,598.0,2798,1998,2822,2033,2809.1053511705686,2016.190635451505,0.7345855858464115,27.59342761875783,0.7119047619047619,33.689822966998875,22.85908528101214,-1.4770668918771104,93.49747468305833,0.964516129032258,835.6605351170568,375.0,1331.0
19,942.0,3110,2239,3155,2265,3132.2452229299365,2251.6348195329088,0.8233759523467565,34.63223427878316,0.8051282051282052,46.01091203011051,26.111021954977506,-0.12608752304672532,118.66904755831213,0.9721362229102167,944.484076433121,400.0,1486.0
20,558.0,1160,1599,1195,1622,1175.252688172043,1607.9193548387098,0.8474413328419285,26.654599339742866,0.6931677018633541,37.62308122578756,19.97368199110093,-0.2839312406391649,96.42640687119285,0.9441624365482234,667.4372759856631,285.0,1034.0
21,518.0,1749,2459,1776,2486,1762.3146718146718,2472.092664092664,0.5907268422797117,25.68147355921802,0.710562414266118,28.621993815466464,23.09427428071348,-0.6794682763123334,84.08326112068524,0.9646182495344506,1616.7915057915059,699.0,2380.0
22,864.0,1651,1418,1679,1462,1663.34375,1439.5844907407406,0.8034169096538805,33.16743834924821,0.7012987012987013,43.24368325508707,25.748019264612367,-1.3325247966451117,114.8111831820431,0.9675251959686451,844.0567129629629,329.0,1273.0
23,110.0,2497,1175,2512,1186,2503.3727272727274,1179.6545454545455,0.7607466770541358,11.834540545406394,0.6666666666666666,15.07510946220272,9.78448343168509,-0.4024072552259058,39.798989873223334,0.9243697478991597,1283.8090909090909,609.0,2170.0
24,588.0,1559,1856,1586,1885,1570.794217687075,1870.2363945578231,0.517957230462271,27.361740666563517,0.7509578544061303,29.97631407136639,25.64193437874531,-0.8438902492944071,91.01219330881976,0.9671052631578947,923.5238095238095,462.0,1353.0
