area,label,intensity_mean,intensity_min,intensity_max,ImageName_ScanRegion_Rep
36988720,1,3744.83692517611,1458,56907,20240424_manuel_lessi_0129_ScanRegion5_rep_2
18550342,1,5276.01664141826,2390,44751,20240424_manuel_lessi_0143_ScanRegion0_rep_0
29377467,1,6582.94733204874,3419,42038,20240424_manuel_lessi_0143_ScanRegion0_rep_1
20872627,1,5741.7177221631,2836,39612,20240424_manuel_lessi_0143_ScanRegion0_rep_2
34062175,1,3890.44668254449,1659,39474,20240424_manuel_lessi_0143_ScanRegion1_rep_0
22453413,1,2359.12047553751,1182,27177,20240424_manuel_lessi_0143_ScanRegion1_rep_1
33873354,1,4319.55888472101,1828,48817,20240424_manuel_lessi_0143_ScanRegion1_rep_2
35333423,1,5227.97400851879,2042,36856,20240424_manuel_lessi_0141_ScanRegion2_rep_0
29096240,1,2723.1639600512,1419,19598,20240424_manuel_lessi_0141_ScanRegion2_rep_1
45759825,1,4732.17004158123,1938,37983,20240424_manuel_lessi_0141_ScanRegion2_rep_2
44572391,1,4704.06766892985,1976,40563,20240424_manuel_lessi_0141_ScanRegion3_rep_0
6822375,1,7620.59193667894,3436,36343,20240424_manuel_lessi_0141_ScanRegion3_rep_1
4836544,1,2527.43566046334,1164,13002,20240424_manuel_lessi_0142_ScanRegion2_rep_0
7617810,1,5029.35170672411,2009,18215,20240424_manuel_lessi_0142_ScanRegion2_rep_1
7071173,1,3174.38015220388,1750,18355,20240424_manuel_lessi_0142_ScanRegion2_rep_2
26140567,1,2710.95346321294,1372,28175,20240424_manuel_lessi_0140_ScanRegion0_rep_0
25534493,1,3338.74030712104,1725,36630,20240424_manuel_lessi_0140_ScanRegion0_rep_1
17085398,1,5937.54928582875,3050,37248,20240424_manuel_lessi_0140_ScanRegion0_rep_2
22988098,1,4734.54910601999,1922,36120,20240424_manuel_lessi_0140_ScanRegion1_rep_0
28268163,1,2947.67326461928,1343,24865,20240424_manuel_lessi_0140_ScanRegion1_rep_1
19884418,1,2729.25909186781,1245,32984,20240424_manuel_lessi_0140_ScanRegion1_rep_2
6107638,1,8375.92406917371,4557,32277,20240424_manuel_lessi_0140_ScanRegion2_rep_0
36603376,1,7255.54991252719,2920,50130,20240424_manuel_lessi_0140_ScanRegion3_rep_0
28458240,1,6804.90178510688,2327,43317,20240424_manuel_lessi_0140_ScanRegion3_rep_1
22610138,1,6207.4906833386,2622,64289,20240424_manuel_lessi_0140_ScanRegion3_rep_2
30054998,1,2794.15940693125,1475,28778,20240424_manuel_lessi_0140_ScanRegion4_rep_0
31837996,1,3904.76050364476,1749,59013,20240424_manuel_lessi_0140_ScanRegion4_rep_1
18872105,1,3218.48880318332,1461,31570,20240424_manuel_lessi_0140_ScanRegion4_rep_2
26246594,1,5094.89296477859,2251,65058,20240424_manuel_lessi_0140_ScanRegion5_rep_0
1893364,1,10712.5950466999,4554,42993,20240424_manuel_lessi_0140_ScanRegion5_rep_1
24276964,1,3060.89293187567,1587,48985,20240424_manuel_lessi_0140_ScanRegion5_rep_2
35795732,1,3021.13827707169,1252,43593,20240424_manuel_lessi_0132_ScanRegion4_rep_0
7583602,1,7990.04145813559,3051,52849,20240424_manuel_lessi_0132_ScanRegion4_rep_1
34512185,1,3138.08226819021,1400,64415,20240424_manuel_lessi_0132_ScanRegion5_rep_0
29698574,1,1680.79046909794,881,35992,20240424_manuel_lessi_0132_ScanRegion5_rep_1
29162209,1,4560.30925304733,1885,55523,20240424_manuel_lessi_0132_ScanRegion5_rep_2
23859214,1,3431.79181191803,1061,59898,20240424_manuel_lessi_0128_ScanRegion0_rep_0
8702803,1,5862.6833858011,2178,58018,20240424_manuel_lessi_0128_ScanRegion0_rep_1
16474137,1,6083.60427043917,2541,62044,20240424_manuel_lessi_0128_ScanRegion1_rep_0
5725347,1,10120.8500979941,4605,51051,20240424_manuel_lessi_0128_ScanRegion1_rep_1
21983747,1,6226.67115806054,2280,65535,20240424_manuel_lessi_0128_ScanRegion2_rep_0
22514074,1,5005.50831915183,2036,65535,20240424_manuel_lessi_0128_ScanRegion2_rep_1
36120991,1,4463.86181129416,1661,59901,20240424_manuel_lessi_0128_ScanRegion2_rep_2
14832535,1,8165.62785066747,3175,62253,20240424_manuel_lessi_0128_ScanRegion3_rep_0
27012144,1,7208.05862481704,2804,61826,20240424_manuel_lessi_0128_ScanRegion3_rep_1
31563732,1,5826.47179389307,2338,65535,20240424_manuel_lessi_0128_ScanRegion4_rep_0
15937774,1,4450.54616171618,1907,34600,20240424_manuel_lessi_0128_ScanRegion4_rep_1
27625720,1,8458.96614071959,3148,65535,20240424_manuel_lessi_0128_ScanRegion5_rep_0
24213189,1,8076.44026910293,3291,64452,20240424_manuel_lessi_0128_ScanRegion5_rep_1
40133175,1,4824.59114241522,1926,50550,20240424_manuel_lessi_0128_ScanRegion5_rep_2
