label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,2931.0,309,399,368,461,338.07710678949167,429.7857386557489,0.366998205596466,61.088993326283926,0.8012575177692728,63.352454447922334,58.931824672690276,-1.2311072916691197,199.33809511662426,0.9855413584398117,322.97611736608667,251.0,407.0
2,3385.0,271,1070,333,1139,301.57991137370755,1105.383751846381,0.49286395679950923,65.64994942060905,0.7912575970079476,70.47377337688128,61.31968014451217,1.28014488945508,216.40916292848976,0.983439860546194,352.9861152141802,259.0,468.0
3,3411.0,589,260,655,325,621.9656992084433,293.0448548812665,0.4151115506263473,65.90159396472622,0.7951048951048951,69.14171089528618,62.90309033096322,-0.6752068587137098,216.40916292848976,0.9849841178169217,373.42480211081795,261.0,497.0
4,3167.0,183,353,245,417,212.60846226712977,384.7293969055889,0.30185745791227686,63.500784547722404,0.7981350806451613,65.10578615514541,62.06880107245587,1.0947806117306955,208.75230867899737,0.9838459148803976,346.34354278497,267.0,429.0
5,3226.0,230,767,289,836,259.37228766274023,800.9888406695599,0.5107976005338826,64.0895527470401,0.7924342913289119,69.15583786884757,59.45334304761621,1.563337984639482,210.99494936611666,0.9835365853658536,365.3130812151271,270.0,462.0
6,3256.0,1278,52,1343,115,1311.0697174447175,83.0144348894349,0.2630902330436222,64.38686168511158,0.7951159951159951,65.64074700664328,63.328304331180824,-0.0037119268482819602,211.58073580374358,0.9824984912492456,336.88329238329237,253.0,429.0
7,3289.0,478,638,543,704,509.2800243235026,671.6178169656431,0.35487493259345243,64.7123238852844,0.7666666666666667,67.0322991162776,62.6694203705435,0.8853886732333723,213.48023074035524,0.9826710487003286,332.17968987534204,250.0,420.0
8,2867.0,627,402,683,466,654.6473665852808,434.07534007673524,0.480337598849004,60.418356273203194,0.7999441964285714,64.59039275943863,56.65117972056686,-1.2954664654863668,198.50966799187808,0.9828591018169353,320.46320195326126,233.0,401.0
9,2997.0,272,617,336,679,302.6666666666667,647.610944277611,0.2702613784977391,61.77296265819928,0.7552923387096774,63.02083561692192,60.675640604038996,-0.17997524792579236,202.3086578651014,0.9832677165354331,359.8511845178512,267.0,466.0
10,3783.0,510,407,590,470,548.8614855934444,437.3716627015596,0.6267208951992602,69.4021987960981,0.7505952380952381,78.72529924206182,61.3462023317461,0.010280649786125445,231.0365799264593,0.9843871975019516,397.39043087496697,257.0,552.0
11,3861.0,1524,52,1588,127,1555.4418544418545,89.21963221963222,0.5280159908253137,70.11403484483306,0.804375,76.11463185074864,64.63916583020337,-1.4193723823822453,231.8233764908628,0.9839449541284404,363.2675472675473,264.0,500.0
12,2703.0,974,413,1031,474,1002.488346281909,443.2456529781724,0.4225928321412098,58.664865885972546,0.7773943054357204,61.646563796432034,55.871491791983864,-1.2229784734305742,193.3380951166243,0.9800580130529369,327.93451720310765,240.0,421.0
13,3277.0,1213,341,1276,407,1245.0692706743973,373.3231614281355,0.3292217406209661,64.59416373092176,0.7881192881192881,66.5131456769876,62.805213307061976,1.4900179969908214,211.82337649086284,0.9843796936016822,353.933780897162,259.0,432.0
14,3070.0,670,590,732,653,700.6355048859934,621.2644951140065,0.34516148819934606,62.520759770950875,0.7859703020993344,64.5889272687237,60.619505667906395,0.8316039880378857,205.58073580374355,0.9827144686299616,328.4052117263844,234.0,413.0
15,3133.0,434,753,492,826,463.74305777210344,790.3332269390361,0.6666381504788602,63.15900168349136,0.7399622106754842,73.44217308488894,54.742436929567475,-1.3128208917682216,212.89444430272832,0.9812088944566238,360.41876795403766,264.0,488.0
16,2902.0,743,524,803,585,772.2997932460372,554.8008270158512,0.23725411158869178,60.786027661144644,0.7928961748633879,61.70968107923436,59.94772307362291,-1.0264474891730337,199.3380951166243,0.9827294277006434,327.342522398346,250.0,408.0
17,3598.0,478,266,542,336,510.06475819899947,301.2242912729294,0.42299982713167933,67.68394109356454,0.803125,71.15276518723506,64.47363821083653,1.4442208657847997,221.82337649086284,0.9849438817410348,372.1378543635353,256.0,525.0
18,3764.0,796,693,865,763,830.7521253985122,728.6434643995749,0.6062079733120757,69.22769421541608,0.779296066252588,77.69660788922893,61.79259110763664,-0.780184108050448,228.89444430272832,0.9855983241686306,353.04649309245485,259.0,458.0
19,3458.0,470,970,538,1036,503.17264314632735,1003.0598611914402,0.5543553452786955,66.3540680417877,0.7704991087344029,72.77600256630866,60.570018094727324,0.6184091320456074,220.06601717798213,0.9832243389252203,332.3204164256796,240.0,426.0
20,3136.0,291,312,351,378,320.3514030612245,344.7624362244898,0.42468094474630724,63.189233357348705,0.7919191919191919,66.43133311035479,60.14314782442766,-1.2871761444862557,207.58073580374355,0.9833803700219504,344.20376275510205,267.0,433.0
