label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,528.0,4046,2824,4070,2853,4056.776515151515,2837.935606060606,0.596996122157073,25.928179257714298,0.7586206896551724,29.030732199255596,23.28973424332667,1.5687381119345267,85.59797974644667,0.96,784.7310606060606,550.0,1307.0
2,593.0,3790,2997,3817,3025,3802.8094435075886,3010.0134907251263,0.6052382201345677,27.47782833536798,0.7843915343915344,30.892257851593737,24.591609062423093,-0.8308599067764652,89.01219330881976,0.9769357495881383,10085.18549747049,1596.0,17092.0
3,462.0,3012,2215,3037,2239,3024.4978354978357,2225.8679653679656,0.37653379803682013,24.253590861306396,0.77,25.351390338485633,23.485601060760047,0.7506787759462163,78.76955262170048,0.9604989604989606,708.3571428571429,492.0,1027.0
4,544.0,3407,2344,3431,2374,3418.797794117647,2358.685661764706,0.5342649428646873,26.318098569918163,0.7555555555555555,28.644340666089345,24.21355049655689,-1.439882946147676,85.84062043356595,0.9662522202486679,744.2334558823529,465.0,2915.0
5,565.0,2352,2187,2383,2211,2367.1734513274337,2198.9150442477876,0.6816981022369336,26.821266613927218,0.7594086021505376,31.446739931761755,23.007490959078496,-0.35733747206325056,88.42640687119285,0.9641638225255973,2061.6318584070796,499.0,6236.0
6,419.0,3352,1179,3376,1201,3363.694510739857,1189.527446300716,0.45695421744483916,23.09734550211416,0.7935606060606061,24.556272581890457,21.842564186451483,-0.15485516729173596,73.94112549695427,0.9744186046511628,757.0262529832936,474.0,2175.0
7,471.0,2739,1231,2766,1254,2752.2420382165606,1241.9256900212315,0.48475646049874355,24.488687706168772,0.7584541062801933,26.19819620817391,22.9142306202413,-0.3129081534849742,79.01219330881976,0.9671457905544147,1216.4692144373673,728.0,1940.0
8,782.0,2480,3847,2512,3878,2495.312020460358,3861.9718670076727,0.33727702941279414,31.554291688816235,0.7883064516129032,32.544253677925916,30.63733750445648,-0.6408730687409586,102.66904755831213,0.9690210656753407,10368.297953964195,1798.0,19800.0
9,646.0,4648,2656,4672,2692,4659.323529411765,2673.2708978328174,0.7382780469468024,28.679483013103898,0.7476851851851852,34.982553915795656,23.59561009646455,-1.4252498100943518,95.49747468305833,0.9728915662650602,1799.7538699690404,680.0,2953.0
10,669.0,2401,2490,2435,2515,2417.7548579970103,2501.775784753363,0.6880450462690562,29.185565874723483,0.7870588235294118,34.29359804076627,24.885765948824005,-0.14224158652177352,95.84062043356595,0.9709724238026125,713.2496263079223,450.0,1141.0
11,465.0,3870,3046,3893,3071,3882.032258064516,3058.3182795698926,0.502368876779573,24.33220886606579,0.808695652173913,26.290349306378243,22.73204005955185,-1.2687555439930185,78.5269119345812,0.9728033472803347,571.7161290322581,373.0,826.0
12,493.0,3538,1262,3564,1287,3550.3042596348882,1274.2210953346855,0.6234685338439369,25.05408341078227,0.7584615384615384,28.351500322752578,22.16657637472001,-0.7136131091438278,81.59797974644665,0.9647749510763209,528.3184584178499,335.0,854.0
13,547.0,2657,1425,2684,1451,2670.111517367459,1437.2943327239489,0.39883344027360296,26.390567083147985,0.7792022792022792,27.573225734057747,25.28529277219616,-0.2316741127275613,85.59797974644665,0.9630281690140845,4210.603290676417,1125.0,8020.0
14,508.0,2729,3077,2755,3102,2741.253937007874,3089.1318897637793,0.3958728861755814,25.43237481489809,0.7815384615384615,26.564312044912707,24.394149033218362,-0.44717628545785276,82.18376618407356,0.9657794676806084,709.9566929133858,439.0,1220.0
15,376.0,2847,3176,2869,3198,2857.6702127659573,3186.473404255319,0.31941347245719937,21.880083839428522,0.7768595041322314,22.496446696687862,21.317980371262802,0.0030510681554437044,70.52691193458118,0.9616368286445013,1244.5186170212767,645.0,1903.0
16,776.0,2719,3819,2750,3851,2733.75,3834.3363402061855,0.33794467339402107,31.433006326383836,0.782258064516129,32.40753068150028,30.500865301186693,-1.1289243078671554,102.08326112068524,0.9675810473815462,674.3582474226804,442.0,1429.0
17,539.0,3696,3523,3724,3548,3709.144712430427,3535.0371057513917,0.46492978907575316,26.196872229566885,0.77,27.848922804422326,24.65597568416837,-0.4615501867531199,84.42640687119285,0.9676840215439856,671.834879406308,463.0,1124.0
18,502.0,3000,3489,3025,3516,3011.3227091633466,3501.3107569721114,0.636700778726807,25.281737508665255,0.7437037037037038,29.047934026734683,22.39918040142076,-0.998651692709623,84.18376618407356,0.9543726235741445,1456.6653386454184,494.0,12253.0
19,784.0,3666,2110,3696,2142,3680.8826530612246,2124.906887755102,0.3889209573970926,31.594616678674353,0.8166666666666667,33.095993901312745,30.49038359083083,1.3854571253694188,103.01219330881975,0.9739130434782609,591.5561224489796,427.0,854.0
20,567.0,2077,2410,2105,2436,2091.188712522046,2422.657848324515,0.5205084945311885,26.86869594648831,0.7788461538461539,29.23290383407837,24.96070468776128,-0.37069779921301566,89.25483399593904,0.9626485568760611,666.7089947089947,433.0,1061.0
