label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,2417.0,1985,884,2037,945,2009.494828299545,914.0223417459661,0.5940810792402015,55.47449846213022,0.7619798234552333,61.905372068445836,49.797001102756134,1.2503650907982289,183.92388155425118,0.9801297648012977,492.0380637153496,365.0,629.0
2,1710.0,3028,1070,3073,1117,3049.601754385965,1093.4619883040937,0.3555372360336595,46.66090035026251,0.8085106382978723,48.30601075386008,45.149798296698876,-1.291930420813771,153.0538238691624,0.9782608695652174,536.246783625731,375.0,717.0
3,1808.0,2641,586,2680,646,2659.113938053097,614.3064159292036,0.7768793779306906,47.9793403131095,0.7726495726495727,60.87196482909367,38.32799928433684,-1.5573756241826298,166.12489168102786,0.9673622257891921,567.1548672566372,405.0,813.0
4,1695.0,3020,1242,3060,1296,3040.4519174041297,1267.538053097345,0.7511865236996191,46.45579649867281,0.7847222222222222,57.396322518405086,37.88673846648508,1.2948709618129128,157.05382386916236,0.9792027729636048,702.7982300884955,324.0,1235.0
5,1304.0,2501,1858,2539,1904,2519.450153374233,1881.601226993865,0.5593751309443461,40.74683259266482,0.7459954233409611,44.86911908344625,37.19266921784913,1.4313236187632936,134.71067811865476,0.9738610903659447,469.88957055214723,347.0,661.0
6,1551.0,991,1398,1037,1442,1013.6331399097356,1418.7285622179238,0.5336817402379991,44.43866035204299,0.7663043478260869,48.44718364651338,40.971076005958665,0.6436236222819022,145.53910524340094,0.9810246679316889,521.0038684719535,327.0,813.0
7,1358.0,2020,1024,2060,1066,2040.8858615611193,1043.7842415316643,0.2943252656928747,41.581958849365805,0.8083333333333333,42.69173231760575,40.800715233580036,-1.4514284826759336,135.98275605729688,0.9776817854571634,495.87776141384387,368.0,638.0
8,1332.0,2366,647,2405,690,2384.5375375375374,667.4984984984985,0.4349125101269983,41.18197510546619,0.7942754919499105,43.43293502267505,39.11017287387563,1.4391996975959005,134.81118318204307,0.9736842105263158,546.6854354354355,424.0,678.0
9,1137.0,2650,2450,2686,2489,2666.8469656992083,2469.250659630607,0.4168324449946922,38.0483030155601,0.8098290598290598,39.982488182815395,36.34341565877145,-1.312390115811563,123.74011537017762,0.9784853700516352,516.0993843447669,363.0,682.0
10,1851.0,2178,532,2225,585,2201.447325769854,557.3457590491627,0.4747718780095664,48.54653846882171,0.7430750702529105,51.82925170943615,45.61538535624362,1.4761748922071543,159.6812408671319,0.9804025423728814,515.6715289032956,399.0,658.0
11,1796.0,2424,750,2475,793,2449.5155902004453,771.3841870824053,0.5776281017912727,47.81985175995794,0.8189694482444141,53.03456635636437,43.292119311069264,-0.22164990899507334,158.46803743153546,0.9787465940054496,535.4214922048998,422.0,663.0
12,1477.0,2577,703,2618,750,2595.2349356804334,726.6364251861883,0.5779212885493689,43.36559474484162,0.766476388168137,48.34201447754284,39.45155591457761,1.032655278911308,144.46803743153546,0.9781456953642385,532.3439404197698,389.0,676.0
13,1444.0,2370,1579,2407,1628,2388.146814404432,1602.2818559556786,0.6820411814038894,42.87840834962948,0.7964699393270822,50.259757107643075,36.75565233550739,1.3813419142348173,142.81118318204307,0.9763353617308993,11405.373961218836,1480.0,25643.0
14,1087.0,2060,1029,2099,1065,2078.9116835326586,1046.2483900643974,0.43583781065837546,37.202303492218356,0.7742165242165242,39.222802329124754,35.301511429609704,-0.25830423720454304,121.39696961966999,0.9722719141323792,490.17939282428705,393.0,587.0
15,1432.0,2139,1125,2183,1167,2161.541899441341,1145.7506983240223,0.3766996347621262,42.69987152276635,0.7748917748917749,44.44946501240157,41.17511563621131,0.2175134682006313,141.05382386916236,0.9721656483367278,493.2213687150838,384.0,642.0
16,1502.0,1818,621,1864,663,1840.2177097203728,640.6524633821572,0.3699732735182447,43.73106214342632,0.777432712215321,45.45706084714389,42.231536805691455,0.021498397142477487,144.46803743153546,0.9709114414996768,471.13115845539284,379.0,624.0
17,1517.0,2419,2142,2463,2186,2440.0916282135795,2162.8312458800265,0.4883151107525609,43.948883823861124,0.7835743801652892,47.09232862876854,41.095938947985665,-0.7450909307800117,144.46803743153546,0.9761904761904762,516.1199736321688,392.0,711.0
18,1350.0,2081,1396,2117,1447,2099.8162962962965,1421.5392592592593,0.7312652797420082,41.45929793656026,0.7352941176470589,50.551790482085586,34.481030948071705,-1.3921828178901567,141.29646455628168,0.9684361549497847,517.7488888888889,421.0,656.0
19,1493.0,2211,1456,2260,1498,2235.270596115204,1477.3603482920294,0.6857666380511233,43.59984679204272,0.7254616132167152,51.22108249736468,37.27980447110753,-0.45452813795902985,146.36753236814712,0.9745430809399478,471.0013395847287,351.0,645.0
20,1531.0,2208,1613,2252,1658,2231.0483344219465,1636.1606792945788,0.5495072654819244,44.1512145131879,0.7732323232323233,48.54351221279276,40.55756745564313,-0.8576309083604348,145.29646455628165,0.9795265515035189,502.24428478118875,383.0,633.0
21,1165.0,2900,2375,2942,2411,2920.5768240343345,2392.5030042918456,0.5237841793216547,38.51394643004615,0.7705026455026455,41.74177623649641,35.557774007478166,-0.18136410793409705,126.22539674441617,0.9724540901502504,466.937339055794,351.0,584.0
22,1435.0,2747,901,2787,948,2766.402787456446,923.6585365853658,0.5071260431245259,42.744575640599805,0.7632978723404256,46.0791412862683,39.71431716772379,1.5304590753355074,140.12489168102783,0.9775204359673024,519.9372822299651,387.0,679.0
23,1177.0,2009,1720,2046,1761,2026.7629566694986,1740.7349192863212,0.46466540790675254,38.71179334716084,0.7758734344100198,41.16346063951014,36.44968211197342,1.1582072101281333,126.22539674441617,0.9767634854771784,482.15378079864064,359.0,618.0
24,1476.0,2732,975,2776,1018,2753.3875338753387,995.9227642276422,0.4340691429377351,43.35091196306141,0.7801268498942917,45.68952095727767,41.160755473803455,-0.6099672985366685,141.88225099390857,0.9787798408488063,542.2330623306233,371.0,737.0
25,1214.0,3269,1204,3308,1245,3288.0626029654036,1223.3492586490938,0.5649311825215494,39.315554266835505,0.7592245153220762,43.36546878988716,35.782497236690965,0.9673313626055683,129.63961030678928,0.9743178170144462,517.50823723229,383.0,687.0
26,1285.0,2437,1400,2473,1446,2454.7774319066148,1422.1136186770427,0.6374586586186478,40.44889139376608,0.7759661835748792,46.16424832707309,35.56884060057031,1.391762096486944,134.8111831820431,0.9720121028744326,566.1750972762646,416.0,739.0
27,1207.0,2235,985,2275,1022,2253.9212924606463,1002.2261806130903,0.43595085768330594,39.202042427599885,0.8155405405405406,41.38180419853828,37.242401838683044,-0.2722854740037563,127.74011537017762,0.9781199351701783,494.97431648715826,393.0,620.0
28,1225.0,1882,2041,1928,2076,1903.7967346938776,2057.216326530612,0.6631626880543159,39.493270848342945,0.7608695652173914,45.74866552635269,34.24174537397835,-0.15725419221893688,131.0538238691624,0.9745425616547335,492.16816326530613,363.0,606.0
29,1660.0,1028,1267,1075,1313,1052.2222891566264,1288.2042168674698,0.2636724340317903,45.97366250648702,0.7678075855689177,47.1662130648807,45.49710824536697,0.33098387061522394,152.12489168102783,0.9799291617473436,492.9222891566265,301.0,758.0
30,1519.0,2824,1396,2865,1444,2844.4364713627388,1418.9598420013167,0.5550131694553314,43.977845200199525,0.771849593495935,48.28807017971871,40.16802365055573,-1.270392155986269,145.29646455628165,0.9762210796915167,537.0921658986175,386.0,687.0
31,1994.0,2458,1795,2521,1836,2487.7211634904716,1814.7427281845537,0.7989274207284438,50.38689960894512,0.7719705768486256,65.33347076443857,39.29334265603923,-0.1724697938649389,174.12489168102786,0.9731576378721327,510.0762286860582,365.0,638.0
32,1359.0,2180,1865,2221,1908,2201.2832965415746,1885.6004415011037,0.46244788771684103,41.597266031496424,0.7708451503119682,44.3481650736509,39.32114372299535,-1.0095097444760048,136.46803743153546,0.9798125450612833,491.5290654893304,371.0,616.0
33,1410.0,2356,698,2399,740,2377.2801418439717,718.8382978723404,0.5110748652696078,42.37060016186435,0.7807308970099668,45.74610476658512,39.32043313515205,0.786942571314321,139.63961030678928,0.9757785467128027,533.3794326241135,432.0,707.0
34,1266.0,1710,1858,1752,1898,1729.1176935229068,1879.5955766192733,0.5118367680368346,40.14873925336531,0.7535714285714286,43.79173639003469,37.62072409005217,0.673368267425771,133.0538238691624,0.9783616692426584,1048.649289099526,493.0,1654.0
