label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,797.0,5708,1649,5738,1683,5722.282308657465,1664.4629861982435,0.47161393263603557,31.85548488335917,0.7813725490196078,34.091684705958414,30.0622226815118,-1.4870641099690998,104.66904755831213,0.968408262454435,6909.130489335006,912.0,21737.0
2,941.0,2182,2510,2210,2554,2194.920297555792,2531.243358129649,0.778278333419047,34.61384710770804,0.7637987012987013,43.80108548312989,27.503553507440653,-1.4084954048125236,116.5685424949238,0.9781704781704782,721.8767268862912,470.0,1342.0
3,896.0,1097,1598,1130,1633,1111.989955357143,1614.8526785714287,0.4547119553001922,33.77606596515802,0.7757575757575758,35.950104906252584,32.018549527269336,-1.01421306612835,110.32590180780451,0.9770992366412213,12739.075892857143,1794.0,31565.0
4,847.0,6471,2984,6505,3015,6487.714285714285,2998.4203069657615,0.46012549545362813,32.839517267930155,0.8036053130929791,34.9111207109639,30.995974296925223,-0.1139645158078223,106.66904755831213,0.9758064516129032,2505.779220779221,574.0,11736.0
5,406.0,6278,1536,6300,1564,6288.7290640394085,1548.665024630542,0.7015331092263116,22.736210219877808,0.6590909090909091,27.81900660805782,19.82484956488795,-1.140842325002464,79.59797974644665,0.9376443418013857,808.4064039408867,409.0,1007.0
6,1030.0,1360,2529,1394,2567,1375.7155339805824,2547.2184466019417,0.41156123328928806,36.21376438700094,0.7972136222910217,38.10056576632567,34.7241740375596,-1.4927101500684334,118.32590180780453,0.9744560075685903,794.4116504854369,520.0,2205.0
7,656.0,2779,2370,2810,2398,2794.2728658536585,2382.609756097561,0.5084662675903197,28.900607975374268,0.7557603686635944,31.316650884516122,26.966201540140045,-0.5486738984595799,94.66904755831214,0.9704142011834319,3811.5625,881.0,8584.0
8,673.0,6669,2871,6698,2901,6683.0653789004455,2884.631500742942,0.32258117210227055,29.2726871606753,0.7735632183908046,30.22372811263483,28.608022142283943,-1.1389651319516014,96.08326112068524,0.9683453237410072,1014.6493313521545,587.0,1616.0
9,928.0,6257,1287,6288,1324,6271.783405172414,1304.4321120689656,0.5585073694849553,34.37391885593249,0.8090671316477768,37.810843706992564,31.36407817694502,-1.4804499762053647,112.66904755831213,0.9747899159663865,734.6939655172414,510.0,1187.0
10,995.0,3392,2379,3422,2422,3406.3175879396986,2399.375879396985,0.7579848801396465,35.593164329846914,0.7713178294573644,44.18509575823319,28.820706182555938,-1.3834951357713268,119.74011537017762,0.9707317073170731,10867.966834170855,1412.0,33610.0
