label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,886.0,2751,1634,2782,1674,2765.558690744921,1653.1027088036117,0.6781049000745295,33.5870545989873,0.714516129032258,39.21831616092807,28.824094893734053,-1.4073217021064357,112.22539674441619,0.9683060109289617,10412.801354401807,2606.0,14990.0
2,1096.0,1501,782,1546,816,1521.4242700729926,800.1113138686131,0.7180421757023895,37.355997390375464,0.7163398692810458,45.53219694303338,31.690390555676316,0.20856796604862715,129.39696961967,0.958041958041958,4584.299270072993,1507.0,9325.0
3,566.0,2159,872,2187,897,2172.7208480565373,884.083038869258,0.46322803169412397,26.844991754889815,0.8085714285714286,28.588724074510065,25.336445872725925,-0.42023583160039213,87.35533905932738,0.9658703071672355,4344.759717314488,1749.0,10287.0
4,543.0,2360,2998,2382,3028,2370.2891344383056,3011.826887661142,0.6827099144936032,26.29389801439097,0.8227272727272728,30.85546020125552,22.545761361908703,-1.527059665094283,85.94112549695427,0.9731182795698925,6516.817679558011,1889.0,10079.0
5,762.0,2650,3731,2675,3768,2661.6089238845143,3748.6181102362207,0.7462451963640107,31.14817062185505,0.8237837837837838,38.274192639380914,25.478026604677627,-1.4916849753579309,103.01219330881976,0.9781771501925546,1803.5800524934384,1129.0,2380.0
6,506.0,2663,3108,2687,3136,2674.1501976284585,3121.590909090909,0.5336623209978141,25.38226171238474,0.7529761904761905,27.61952867071003,23.357770685765065,1.5111126565054465,82.42640687119285,0.9674952198852772,9545.752964426878,2791.0,13380.0
7,519.0,2536,3458,2558,3488,2547.0115606936415,3472.481695568401,0.7011750439241675,25.70625067405882,0.7863636363636364,30.472835396381605,21.726801643325214,1.4400586041963672,84.76955262170047,0.9664804469273743,4039.300578034682,1313.0,12746.0
8,699.0,1745,948,1775,979,1758.901287553648,962.3934191702432,0.6627503879678676,29.83277462405867,0.7516129032258064,34.59866529557747,25.90887786448641,-0.9007960803559919,98.08326112068524,0.972183588317107,14551.228898426323,4025.0,21590.0
9,521.0,3099,3148,3125,3174,3110.9712092130517,3160.1880998080615,0.13140271068392706,25.75573339679963,0.7707100591715976,25.91637867709231,25.691659605687647,-0.41832079447744075,83.01219330881975,0.9666048237476809,2890.2975047984646,1389.0,6062.0
10,919.0,688,548,727,579,707.1762785636562,562.8161044613711,0.687410767779701,34.20682887394876,0.760132340777502,40.229752799800025,29.217616131645993,-0.38779644115855577,113.7401153701776,0.9704329461457233,16926.2513601741,3378.0,25149.0
11,525.0,3241,1991,3268,2017,3254.0038095238097,2002.9619047619049,0.43494125960761787,25.854414729132053,0.7478632478632479,27.27217916794087,24.55747448705381,-0.560565414706794,83.84062043356595,0.963302752293578,14846.996190476191,4541.0,25286.0
12,834.0,185,1662,215,1699,199.62350119904076,1680.2470023980816,0.6188097889432893,32.586527589007176,0.7513513513513513,36.7800066241514,28.892198090021935,1.5536249098064796,107.74011537017762,0.9641618497109826,13576.625899280576,3896.0,19902.0
