label,area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,intensity_mean,intensity_min,intensity_max
1,708.0,7202,1904,7233,1935,7217.569209039548,1917.415254237288,0.48069463290331277,30.024216853608277,0.736732570239334,32.39867430568938,28.410010660841092,0.8893972557580395,99.49747468305831,0.9711934156378601,10275.946327683616,2757.0,16222.0
2,849.0,2866,2569,2898,2601,2881.4405182567725,2584.1625441696115,0.4078147029294452,32.878265974350796,0.8291015625,34.48323317579911,31.48542336423972,-0.687589945095271,107.01219330881975,0.9736238532110092,11057.70082449941,2346.0,21834.0
3,913.0,5751,3700,5784,3736,5766.404162102957,3717.734939759036,0.36892615790022143,34.09498063268556,0.7685185185185185,35.443478144632344,32.94324940600463,1.2286388771316343,111.74011537017762,0.968186638388123,12430.283680175246,5266.0,17112.0
4,986.0,6394,179,6431,215,6411.331643002029,195.6977687626775,0.437886354270209,35.43182455235505,0.7402402402402403,37.54553367351973,33.75457366392454,0.5859819263059022,116.22539674441617,0.977205153617443,990.5212981744422,637.0,1480.0
5,785.0,3792,3454,3823,3486,3806.3910828025478,3470.1146496815286,0.4209797499456694,31.614759885488656,0.7913306451612904,33.24801915025321,30.158281926204392,-0.8566322232852221,103.25483399593904,0.9667487684729064,7265.887898089172,1688.0,12899.0
6,655.0,3758,2856,3787,2887,3771.926717557252,2870.7664122137403,0.48499787324193777,28.878571671769564,0.728587319243604,30.94497723171415,27.061856985291428,-0.9159717377358417,94.32590180780451,0.9660766961651918,8327.442748091604,2410.0,20468.0
7,670.0,3232,2938,3263,2966,3246.4268656716417,2951.7716417910447,0.4277827419463057,29.20737055903114,0.771889400921659,30.74081051328686,27.786052632807074,0.03293253563494793,95.25483399593904,0.9654178674351584,1568.3567164179105,914.0,2272.0
8,705.0,6918,517,6950,546,6933.104964539007,531.1787234042553,0.5416251132774684,29.96053869739811,0.759698275862069,32.71184340127444,27.498234708334707,-0.4794714441919017,98.08326112068524,0.9684065934065934,12358.699290780141,4095.0,16384.0
9,678.0,4266,2351,4296,2379,4280.351032448378,2364.2758112094393,0.3684709555890015,29.381225490616288,0.8071428571428572,30.50605644604891,28.359627758957036,0.2241555943251091,95.59797974644665,0.9671897289586305,1305.2389380530974,683.0,1914.0
10,425.0,854,2081,878,2105,866.795294117647,2092.0235294117647,0.44723437035166713,23.26213245840639,0.7378472222222222,24.810395933312048,22.1908350185973,0.6845105513614914,76.18376618407356,0.963718820861678,3185.4,1119.0,5015.0
11,593.0,3418,3083,3447,3109,3432.1365935919057,3095.362563237774,0.4475148912803245,27.47782833536798,0.786472148541114,29.074392538796253,26.000545407998487,-0.09936650361624819,87.84062043356595,0.9769357495881383,4478.392917369309,1762.0,7001.0
12,473.0,4193,1035,4216,1063,4204.429175475687,1048.0190274841439,0.6825146713932911,24.54062559633988,0.734472049689441,28.922338767117903,21.138524471958636,-1.0980560337417928,82.18376618407356,0.9613821138211383,1589.4820295983086,761.0,2294.0
13,1230.0,6950,2651,6984,2701,6965.576422764228,2675.357723577236,0.7588972431364105,39.573787284315486,0.7235294117647059,49.358807877319535,32.14296861549565,-1.353194940210127,135.29646455628165,0.9738717339667459,19089.369918699187,4909.0,30269.0
14,145.0,5747,2303,5761,2317,5753.068965517241,2309.793103448276,0.30155630212813966,13.58748446131949,0.7397959183673469,13.917450542361376,13.269570551621799,-1.3512429613674857,42.62741699796952,0.9477124183006536,1503.3655172413794,847.0,2004.0
15,809.0,2078,2795,2114,2825,2095.8269468479602,2808.9085290482076,0.5891664708219634,32.09440436728413,0.7490740740740741,35.89602324961047,29.004405932239,0.03341832653668028,105.7401153701776,0.9723557692307693,1648.5339925834364,1069.0,2942.0
16,1287.0,6084,3302,6128,3340,6105.733488733489,3321.5726495726494,0.5042938431653035,40.48035689163516,0.7697368421052632,43.661054448736586,37.7027228456912,-0.18213975265896454,133.0538238691624,0.9764795144157815,15457.067599067599,4229.0,22584.0
17,842.0,6766,2470,6794,2509,6779.515439429929,2488.0380047505937,0.6642412276877785,32.74244487919323,0.7710622710622711,37.90369136200254,28.3337024896316,1.5090508687624797,107.15432893255071,0.9779326364692218,10101.43705463183,2965.0,15584.0
18,747.0,3286,1611,3313,1648,3299.0053547523426,1628.7657295850067,0.6467820429097012,30.8400703617415,0.7477477477477478,35.34126661552179,26.95389665470551,-1.5598475008577697,101.15432893255071,0.9739243807040417,1066.5153949129854,624.0,1858.0
19,128.0,5470,574,5482,587,5475.859375,579.765625,0.4415058479824004,12.766152972845846,0.8205128205128205,13.48625001215151,12.100650730838545,-1.5559197657855641,38.970562748477136,0.9846153846153847,4163.59375,2910.0,5414.0
20,1090.0,2090,2962,2121,3007,2104.6752293577983,2983.42752293578,0.754745560818086,37.253605245148115,0.7813620071684588,46.124537246339926,30.2585098747714,-1.4425086104092515,125.7401153701776,0.9714795008912656,8996.950458715597,2389.0,14170.0
21,927.0,7133,1654,7167,1689,7149.614886731391,1670.0258899676376,0.24846346653020737,34.355393433484295,0.7789915966386555,35.004770016422285,33.907064809825435,-0.91081890030412,111.74011537017762,0.9757894736842105,16023.727076591154,5155.0,23715.0
22,624.0,6822,2243,6850,2271,6835.274038461538,2255.7403846153848,0.35486533909758766,28.18690255978371,0.7959183673469388,29.22662261566201,27.32447875006834,-0.9042452353817365,91.01219330881976,0.9704510108864697,2017.4695512820513,1130.0,2789.0
23,464.0,2554,2616,2575,2643,2564.5905172413795,2628.9202586206898,0.6288470908934923,24.306031118985995,0.818342151675485,27.649026678295414,21.497919894060583,1.476610183913838,78.52691193458118,0.9768421052631578,1500.2650862068965,974.0,1990.0
24,724.0,3650,1518,3680,1550,3664.1864640883978,1533.371546961326,0.4785080346117642,30.361578193306386,0.7541666666666667,32.40732609884623,28.456327768187972,-1.0917249833671383,98.32590180780451,0.9731182795698925,1397.236187845304,838.0,4136.0
25,805.0,1958,2887,1989,2920,1972.9391304347826,2903.360248447205,0.5524573879223368,32.01496265048276,0.7869012707722385,35.07544751064195,29.236828555737116,-0.9740892897772941,104.08326112068524,0.9757575757575757,1831.3950310559005,1024.0,2568.0
26,819.0,1694,2923,1729,2954,1711.7460317460318,2937.4993894993895,0.6227108374704984,32.29215364663835,0.7548387096774194,36.604515861583025,28.641278530065357,-0.42425062125939417,106.32590180780451,0.9703791469194313,7644.681318681319,1899.0,12350.0
27,618.0,6931,2018,6957,2048,6943.257281553398,2032.7508090614888,0.5088740489109979,28.05106127486678,0.7923076923076923,30.257284665708337,26.046710750680038,1.2347554522145443,90.42640687119285,0.9747634069400631,17993.70226537217,5952.0,27167.0
28,697.0,7751,2031,7779,2064,7764.2525107604015,2046.325681492109,0.6510956146660477,29.790064831759068,0.7543290043290043,34.268026492847525,26.00928538638498,-1.1517532097753442,96.91168824543142,0.9775596072931276,16861.39024390244,6480.0,25773.0
29,884.0,5973,1156,6003,1195,5988.114253393665,1175.0723981900453,0.6433657145512034,33.549124542167775,0.7555555555555555,38.40917150483227,29.404486297388708,1.4333894343046936,110.5685424949238,0.9724972497249725,17457.718325791855,3477.0,27991.0
30,676.0,3831,2414,3863,2443,3847.619822485207,2427.6863905325445,0.4666009853060906,29.33785834448333,0.728448275862069,31.264489601999877,27.652438423991793,0.1227245412096893,96.32590180780451,0.9629629629629629,1522.5976331360946,937.0,2167.0
31,605.0,4815,638,4848,662,4831.381818181818,650.305785123967,0.7370621019780319,27.754457742221764,0.7638888888888888,33.874108108779176,22.892969794351377,-0.33510741363203195,92.42640687119285,0.968,1392.0743801652893,816.0,2065.0
32,762.0,3319,3315,3354,3344,3337.020997375328,3327.3005249343832,0.5704274830698403,31.14817062185505,0.7507389162561576,34.76886689355333,28.557338215455868,0.18895934314699184,104.08326112068524,0.9657794676806084,19261.022309711287,7773.0,27284.0
33,781.0,3645,1956,3676,1989,3660.0985915492956,1971.4558258642767,0.5409703310514207,31.534109856442154,0.7634408602150538,34.46374204337825,28.985443372533936,0.8884524004616156,104.08326112068524,0.9606396063960639,1151.3290653008962,663.0,1996.0
34,549.0,7235,1353,7257,1387,7244.985428051002,1370.6448087431695,0.7724523797485819,26.438769072322643,0.733957219251337,33.301589579506064,21.14893006076955,-1.3558801572968535,89.25483399593904,0.9682539682539683,2039.0091074681238,898.0,3167.0
35,568.0,6183,1389,6208,1419,6194.7464788732395,1403.1109154929577,0.6136250205563076,26.89237924411993,0.7573333333333333,30.316384450182866,23.93774371568904,-1.2342889838005593,87.84062043356595,0.9709401709401709,1905.1214788732395,1037.0,2670.0
36,523.0,5614,678,5639,706,5625.523900573614,690.3613766730401,0.5989532122960249,25.805121233904135,0.7471428571428571,29.118263900898118,23.31744047276029,-1.1569050095869646,85.59797974644667,0.9613970588235294,1505.2963671128107,784.0,2166.0
37,380.0,4603,863,4626,886,4614.442105263158,873.4526315789474,0.5674888529866277,21.996159369293583,0.718336483931947,24.318571350816327,20.023451525672634,-0.7969417895477902,72.18376618407356,0.9571788413098237,4794.273684210526,1377.0,7747.0
38,625.0,5209,704,5234,736,5220.4816,720.5632,0.5810955299115065,28.209479177387816,0.78125,31.469270119787335,25.61080462085992,1.4639979581877016,92.42640687119284,0.9720062208398134,12152.12,3376.0,17246.0
39,876.0,7135,2210,7164,2252,7148.714611872146,2232.1004566210045,0.6993744759893831,33.396973533360814,0.7192118226600985,39.80992363562656,28.45435957714487,1.5066705003627667,113.9827560572969,0.9626373626373627,9994.077625570777,3134.0,15249.0
40,785.0,6505,2704,6543,2731,6522.675159235669,2716.4509554140127,0.7176247114734289,31.614759885488656,0.7651072124756335,37.966177453745,26.440785743210036,0.0008235520321954761,104.91168824543144,0.9703337453646477,22290.617834394903,5472.0,32637.0
41,803.0,4231,2518,4261,2554,4244.328767123287,2535.048567870486,0.6017575061650741,31.975167777860612,0.7435185185185185,35.97991643336232,28.736398242627967,1.303159514161175,105.7401153701776,0.9709794437726723,11250.257783312578,2978.0,17429.0
