,index,axis-0,axis-1
0,0,7194,2127
1,0,11443,2127
2,0,11443,4594
3,0,7194,4594
4,1,14351,11248
5,1,17721,11248
6,1,17721,15584
7,1,14351,15584
8,2,351,11963
9,2,9292,11963
10,2,9292,19561
11,2,351,19561
