,index,axis-0,axis-1
0,0,855,1526
1,0,10288,1526
2,0,10288,9889
3,0,855,9889
4,1,12595,5755
5,1,19959,5755
6,1,19959,16216
7,1,12595,16216
8,2,2762,10679
9,2,10049,10679
10,2,10049,19516
11,2,2762,19516
