index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,10447.320008436416,2376.11303487803
0,rectangle,1,10447.320008436416,9384.383720992138
0,rectangle,2,17867.84191138077,9384.383720992138
0,rectangle,3,17867.84191138077,2376.11303487803
1,rectangle,0,2367.1961585636795,7240.677393474882
1,rectangle,1,2367.1961585636795,13836.696862758748
1,rectangle,2,9210.56635794569,13836.696862758748
1,rectangle,3,9210.56635794569,7240.677393474882
2,rectangle,0,6104.940524491203,13946.630520580145
2,rectangle,1,6104.940524491203,22631.38948847057
2,rectangle,2,13992.680473176495,22631.38948847057
2,rectangle,3,13992.680473176495,13946.630520580145
