,index,axis-0,axis-1
0,0,7688,1832
1,0,15611,1832
2,0,15611,9479
3,0,7688,9479
4,1,543,11207
5,1,8282,11207
6,1,8282,19250
7,1,543,19250
8,2,11438,12312
9,2,18150,12312
10,2,18150,19451
11,2,11438,19451
