,index,axis-0,axis-1
0,0,9419,1683
1,0,16377,1683
2,0,16377,9078
3,0,9419,9078
4,1,912,5965
5,1,7211,5965
6,1,7211,12264
7,1,912,12264
8,2,3409,13191
9,2,11295,13191
10,2,11295,21891
11,2,3409,21891
