,index,axis-0,axis-1
0,0,2431,1766
1,0,10795,1766
2,0,10795,7220
3,0,2431,7220
4,1,12882,7989
5,1,19865,7989
6,1,19865,13815
7,1,12882,13815
8,2,2937,10412
9,2,12092,10412
10,2,12092,19400
11,2,2937,19400
