index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,1402.8807594141986,1250.5894312012842
0,rectangle,1,1402.8807594141986,4674.573288592588
0,rectangle,2,5281.375748317622,4674.573288592588
0,rectangle,3,5281.375748317622,1250.5894312012842
1,rectangle,0,2463.406732942479,10704.420966653379
1,rectangle,1,2463.406732942479,14976.825602867306
1,rectangle,2,7220.623242769336,14976.825602867306
1,rectangle,3,7220.623242769336,10704.420966653379
2,rectangle,0,8887.164058313776,9280.286087915403
2,rectangle,1,8887.164058313776,13128.48033471802
2,rectangle,2,12977.764241922854,13128.48033471802
2,rectangle,3,12977.764241922854,9280.286087915403
