,index,axis-0,axis-1
0,0,2900,1502
1,0,11185,1502
2,0,11185,7500
3,0,2900,7500
4,1,12445,9176
5,1,19476,9176
6,1,19476,15463
7,1,12445,15463
8,2,1843,10809
9,2,10859,10809
10,2,10859,19651
11,2,1843,19651
