,index,axis-0,axis-1
0,0,13773,829
1,0,21761,829
2,0,21761,8235
3,0,13773,8235
4,1,1631,2929
5,1,10799,2929
6,1,10799,12306
7,1,1631,12306
8,2,11175,15137
9,2,18773,15137
10,2,18773,21200
11,2,11175,21200
