,index,axis-0,axis-1
0,0,7012,1968
1,0,15155,1968
2,0,15155,9643
3,0,7012,9643
4,1,567,11371
5,1,8362,11371
6,1,8362,18881
7,1,567,18881
8,2,11733,12123
9,2,18277,12123
10,2,18277,19184
11,2,11733,19184
