index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,728.6285009371225,1547.8032897809126
0,rectangle,1,728.6285009371225,12446.99083392644
0,rectangle,2,8427.500588906954,12446.99083392644
0,rectangle,3,8427.500588906954,1547.8032897809126
1,rectangle,0,8518.075554647776,1276.0783925584483
1,rectangle,1,8518.075554647776,11782.774418493747
1,rectangle,2,19568.221375028006,11782.774418493747
1,rectangle,3,19568.221375028006,1276.0783925584483
2,rectangle,0,2147.6362975433267,12567.757454914201
2,rectangle,1,2147.6362975433267,19753.371403686044
2,rectangle,2,13892.190188603188,19753.371403686044
2,rectangle,3,13892.190188603188,12567.757454914201
