,index,axis-0,axis-1
0,0,2109,2747
1,0,9398,2747
2,0,9398,10224
3,0,2109,10224
4,1,11933,5774
5,1,17802,5774
6,1,17802,12317
7,1,11933,12317
8,2,6778,13438
9,2,10323,13438
10,2,10323,15781
11,2,6778,15781
