index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,937.4040750579395,855.6159441849568
0,rectangle,1,937.4040750579395,8435.74855893127
0,rectangle,2,7940.787469117032,8435.74855893127
0,rectangle,3,7940.787469117032,855.6159441849568
1,rectangle,0,10659.74808092821,4151.325776683354
1,rectangle,1,10659.74808092821,10934.995181909218
1,rectangle,2,17031.453757091775,10934.995181909218
1,rectangle,3,17031.453757091775,4151.325776683354
2,rectangle,0,5057.041365680935,11346.958910971518
2,rectangle,1,5057.041365680935,14505.34750044915
2,rectangle,2,9341.464147928851,14505.34750044915
2,rectangle,3,9341.464147928851,11346.958910971518
