index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,11050.888286684914,7576.815377623512
0,rectangle,1,11050.888286684914,15497.39955977778
0,rectangle,2,18560.954386227528,15497.39955977778
0,rectangle,3,18560.954386227528,7576.815377623512
1,rectangle,0,7549.410523232571,1177.562913383019
1,rectangle,1,7549.41052323254,7069.704804985627
1,rectangle,2,14962.884132748914,7069.704804985584
1,rectangle,3,14962.884132748944,1177.5629133829727
2,polygon,0,3323.4890845831906,7287.0379075446945
2,polygon,1,4289.413984845907,6248.668639762276
2,polygon,2,4796.524557483832,5934.743047176893
2,polygon,3,5207.042640095486,5862.2986796571895
2,polygon,4,5786.597580253116,5958.891169683462
2,polygon,5,6052.2269278253625,6031.335537203166
2,polygon,6,6680.078112996127,6103.779904722869
2,polygon,7,7380.373665686597,6345.261129788549
2,polygon,8,8056.521095870497,6707.482967387066
2,polygon,9,8515.335423495286,7069.704804985584
2,polygon,10,8853.409138587238,7504.371010103809
2,polygon,11,9263.927221198892,8083.925950261437
2,polygon,12,9626.14905879741,8566.888400392792
2,polygon,13,9867.630283863089,9218.887708070128
2,polygon,14,10205.70399895504,9774.294525721187
2,polygon,15,10447.185224020717,10377.997588385384
2,polygon,16,10471.333346527286,10909.256283529878
2,polygon,17,10350.592733994446,11706.14432624662
2,polygon,18,10350.592733994446,12237.403021391114
2,polygon,19,9867.630283863089,13275.772289173532
2,polygon,20,9626.14905879741,13903.623474344298
2,polygon,21,9432.964078744866,14314.14155695595
2,polygon,22,9094.890363652916,14700.511517061037
2,polygon,23,8829.261016080669,14966.140864633286
2,polygon,24,8080.669218377065,15135.177722179258
2,polygon,25,7573.55864573914,15304.214579725234
2,polygon,26,7283.781175660324,15376.658947244938
2,polygon,27,5883.190070279386,15255.9183347121
2,polygon,28,5496.820110174302,15304.214579725234
2,polygon,29,5013.857660042942,15231.77021220553
2,polygon,30,4386.006474872178,14941.992742126717
2,polygon,31,3999.6365147670917,14603.919027034764
2,polygon,32,3758.155289701413,14265.845311942816
2,polygon,33,3468.377819622598,13927.771596850864
2,polygon,34,3275.1928395700547,13686.290371785188
2,polygon,35,2985.41536949124,13106.735431627556
2,polygon,36,2599.045409386154,11899.329306299162
2,polygon,37,2502.4529193598823,11343.922488648102
2,polygon,38,2405.8604293336107,10836.811916010174
2,polygon,39,2309.2679393073395,10353.849465878819
2,polygon,40,2285.1198168007713,10088.22011830657
2,polygon,41,2309.2679393073395,9556.961423162076
2,polygon,42,2357.564184320475,9170.59146305699
2,polygon,43,2454.1566743467465,8735.925257938768
2,polygon,44,2719.7860219189934,8132.222195274571
2,polygon,45,2912.9710019715367,7818.296602689188
2,polygon,46,3130.3041045306477,7480.22288759724
