index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,9908.686724664294,3012.5442912213543
0,polygon,1,10063.072336345103,2773.9483458964655
0,polygon,2,10456.053893350803,2310.7915108540333
0,polygon,3,10624.47456063896,2114.300732351184
0,polygon,4,10877.105561571196,1931.8450094556802
0,polygon,5,11129.73656250343,1833.5996202042556
0,polygon,6,11284.122174184242,1777.45939777487
0,polygon,7,11606.92845315321,1735.3542309528307
0,polygon,8,12027.980121373603,1777.45939777487
0,polygon,9,12392.891567164608,1777.45939777487
0,polygon,10,12982.363902673158,1847.634675811602
0,polygon,11,13964.817795187406,2268.6863440319944
0,polygon,12,14161.308573690258,2409.0369001054582
0,polygon,13,14385.869463407798,2577.4575673936156
0,polygon,14,14498.14990826657,2773.9483458964655
0,polygon,15,14680.605631162074,3040.614402436047
0,polygon,16,14792.886076020844,3251.140236546243
0,polygon,17,14877.096409664922,3419.5609038344005
0,polygon,18,15157.797521811852,3223.0701253315506
0,polygon,19,15438.498633958781,3012.5442912213543
0,polygon,20,16084.111191896714,2773.9483458964655
0,polygon,21,16519.197915724453,2647.632845430347
0,polygon,22,16870.074305908114,2591.492623000962
0,polygon,23,17038.49497319627,2591.492623000962
0,polygon,24,17347.26619655789,2633.5977898230008
0,polygon,25,17768.317864778284,2717.8081234670794
0,polygon,26,18105.1591993546,2872.1937351478905
0,polygon,27,18526.21086757499,3082.7195692580867
0,polygon,28,19003.40275822477,3265.1752921535895
0,polygon,29,19129.71825869089,3335.350570190322
0,polygon,30,19284.1038703717,3616.0516823372504
0,polygon,31,19606.910149340663,4135.348739809067
0,polygon,32,20013.926761953713,4668.680852888232
0,polygon,33,20224.452596063908,4991.487131857199
0,polygon,34,20336.733040922678,5258.15318839678
0,polygon,35,20477.08359699614,5510.784189329017
0,polygon,36,20617.434153069604,5805.520357083291
0,polygon,37,20715.67954232103,6002.011135586141
0,polygon,38,20785.854820357763,6324.8174145551075
0,polygon,39,20870.065154001844,6647.623693524076
0,polygon,40,20870.065154001844,6900.254694456311
0,polygon,41,20940.240432038576,7279.201195854665
0,polygon,42,20996.38065446796,7447.621863142822
0,polygon,43,21052.520876897346,7728.32297528975
0,polygon,44,21066.555932504692,7938.848809399946
0,polygon,45,21094.626043719385,8387.97058883503
0,polygon,46,21094.626043719385,8654.636645374614
0,polygon,47,21080.59098811204,9005.513035558273
