index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,5990.661872770133,3738.5656595246455
0,polygon,1,6114.302514769051,3568.559776776132
0,polygon,2,6639.775243264456,2811.260844532756
0,polygon,3,6763.415885263374,2656.7100420341085
0,polygon,4,7026.152249511076,2471.2490790357306
0,polygon,5,7427.984336007561,2347.6084370368117
0,polygon,6,7752.541021254722,2301.243196287217
0,polygon,7,8030.7324657522895,2254.877955537623
0,polygon,8,8478.929792998368,2239.422875287758
0,polygon,9,9066.222842493231,2146.6923937885695
0,polygon,10,9344.414286990797,2115.78223328884
0,polygon,11,9591.695570988635,2100.3271530389748
0,polygon,12,9777.156533987012,2115.78223328884
0,polygon,13,10086.258138984309,2115.78223328884
0,polygon,14,10379.90466373174,2146.6923937885695
0,polygon,15,10611.730867479713,2208.5127147880285
0,polygon,16,11168.113756474846,2502.15923953546
0,polygon,17,11662.67632447052,2826.715924782621
0,polygon,18,12002.688089967545,3182.182770529512
0,polygon,19,12389.065096214166,3630.380097775592
0,polygon,20,12512.705738213084,4140.397746021131
0,polygon,21,12559.07097896268,4774.056036265588
0,polygon,22,12589.981139462408,5284.073684511127
0,polygon,23,12512.705738213084,6412.294542751258
0,polygon,24,12389.065096214166,6999.587592246121
0,polygon,25,12327.244775214707,7571.425561491119
0,polygon,26,12249.969373965383,8096.898289986523
0,polygon,27,11925.412688718221,9456.945351974628
0,polygon,28,11678.131404720385,10384.250166966514
0,polygon,29,11492.670441722006,11048.818617710702
0,polygon,30,11369.029799723088,11404.285463457592
0,polygon,31,11307.20947872363,11636.111667205565
0,polygon,32,11245.38915772417,11806.11754995408
0,polygon,33,11137.203595975116,11991.578512952456
0,polygon,34,10828.10199097782,12316.13519819962
0,polygon,35,10673.551188479172,12439.775840198537
0,polygon,36,10410.81482423147,12733.422364945967
0,polygon,37,10117.16829948404,13027.068889693397
0,polygon,38,9869.887015486202,13119.799371192588
0,polygon,39,9251.68380549161,13197.074772441913
0,polygon,40,8911.672039994583,13289.8052539411
0,polygon,41,8633.480595497016,13305.260334190963
0,polygon,42,8278.013749750125,13212.529852691776
0,polygon,43,8077.097706501883,13181.619692192045
0,polygon,44,7798.906262004317,13088.889210692858
0,polygon,45,7227.068292759318,12903.428247694483
0,polygon,46,6825.236206262834,12609.78172294705
0,polygon,47,6438.8592000162125,12269.769957450022
0,polygon,48,6191.577916018376,12022.488673452186
0,polygon,49,6006.116953019998,11929.758191952998
0,polygon,50,5882.47631102108,11821.572630203944
0,polygon,51,5851.56615052135,11497.015944956784
0,polygon,52,5789.74582952189,11033.363537460838
0,polygon,53,5727.925508522431,10724.261932463542
0,polygon,54,5697.015348022702,10276.064605217463
0,polygon,55,5449.734064024865,9936.052839720436
0,polygon,56,5217.907860276892,9642.406314973006
0,polygon,57,4986.081656528921,9503.310592724221
0,polygon,58,4769.710533030813,9225.119148226655
0,polygon,59,4352.423366284463,8545.095617232604
