,index,axis-0,axis-1
0,0,7737,2423
1,0,15079,2423
2,0,15079,10110
3,0,7737,10110
4,1,1975,11688
5,1,9465,11688
6,1,9465,18092
7,1,1975,18092
8,2,11026,12004
9,2,16045,12004
10,2,16045,18423
11,2,11026,18423
