index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,5011.4125841479845,3084.5048754107656
0,polygon,1,5373.457799295013,2698.3233125872675
0,polygon,2,5590.68492838323,2384.5507927931767
0,polygon,3,5928.59379585379,2119.050968352022
0,polygon,4,6411.3207493831615,1925.960186940275
0,polygon,5,6725.093269177252,1829.4147962344005
0,polygon,6,7038.865788971343,1757.005753204995
0,polygon,7,7497.456394824246,1612.1876671461823
0,polygon,8,8125.001434412428,1515.6422764403096
0,polygon,9,8511.182997235926,1491.5059287638405
0,polygon,10,8945.637255412359,1443.2332334109024
0,polygon,11,9476.636904294668,1515.6422764403096
0,polygon,12,9766.273076412292,1612.1876671461823
0,polygon,13,10080.045596206382,1732.869405528526
0,polygon,14,10635.181592765159,1974.2328822932113
0,polygon,15,10876.545069529844,2119.050968352022
0,polygon,16,11214.453937000404,2336.2780974402403
0,polygon,17,11890.271671941524,3012.09583238136
0,polygon,18,12131.63514870621,3350.00469985192
0,polygon,19,12300.58958244149,3615.504524293073
0,polygon,20,12590.225754559113,4243.049563881256
0,polygon,21,12759.180188294393,4605.094779028285
0,polygon,22,12879.861926676735,4846.458255792971
0,polygon,23,13048.816360412015,5377.457904675278
0,polygon,24,13097.089055764953,5908.457553557587
0,polygon,25,13097.089055764953,6198.093725675209
0,polygon,26,13048.816360412015,6729.093374557518
0,polygon,27,13000.543665059078,7211.820328086888
0,polygon,28,12952.27096970614,7549.729195557448
0,polygon,29,12903.998274353204,7911.774410704477
0,polygon,30,12831.589231323798,8297.955973527973
0,polygon,31,12759.180188294393,8539.31945029266
0,polygon,32,12204.044191735615,8949.637360792625
0,polygon,33,11962.68071497093,9215.13718523378
0,polygon,34,11769.589933559182,9384.091618969058
0,polygon,35,11552.362804470964,9577.182400380807
0,polygon,36,11310.999327706279,9722.000486439618
0,polygon,37,10948.95411255925,9890.9549201749
0,polygon,38,10562.772549735753,10011.63665855724
0,polygon,39,9935.227510147572,10011.63665855724
0,polygon,40,9524.909599647604,10059.909353910178
0,polygon,41,9066.318993794703,10108.182049263116
0,polygon,42,8438.77395420652,10156.454744616054
0,polygon,43,7883.637957647743,10204.727439968989
0,polygon,44,7425.04735179484,10228.86378764546
0,polygon,45,7135.411179677218,10084.045701586645
0,polygon,46,6797.502312206658,9890.9549201749
0,polygon,47,6435.45709705963,9601.318748057274
0,polygon,48,6073.4118819126015,9215.13718523378
0,polygon,49,5904.457448177322,8973.773708469093
0,polygon,50,5542.412233030293,8466.910407263254
0,polygon,51,5349.321451618544,8104.865192116226
0,polygon,52,5059.685279500922,7404.911109498637
0,polygon,53,4890.730845765642,6970.456851322203
0,polygon,54,4721.776412030362,6680.820679204581
0,polygon,55,4528.685630618614,6198.093725675209
0,polygon,56,4432.140239912739,5715.366772145838
0,polygon,57,4359.731196883334,5208.503470939998
0,polygon,58,4335.594849206865,4870.594603469438
0,polygon,59,4359.731196883334,4460.276692969473
0,polygon,60,4480.412935265676,4122.367825498913
0,polygon,61,4601.094673648019,3832.731653381291
0,polygon,62,4770.049107383299,3615.504524293073
0,polygon,63,4866.594498089173,3325.868352175451
1,polygon,0,13507.406966264918,7694.547281616261
1,polygon,1,13917.724876764883,7091.138589704547
1,polygon,2,14303.90643958838,6801.502417586923
1,polygon,3,14883.178783823625,6536.0025931457685
1,polygon,4,15341.769389676529,6367.048159410489
1,polygon,5,15655.54190947062,6173.957377998741
1,polygon,6,16114.132515323521,5908.457553557587
1,polygon,7,16789.950250264643,5787.775815175243
1,polygon,8,17151.995465411674,5787.775815175243
1,polygon,9,17731.267809646917,5908.457553557587
1,polygon,10,17996.76763408807,6125.684682645803
1,polygon,11,18407.085544588037,6656.684331528112
1,polygon,12,18624.312673676253,6825.638765263392
1,polygon,13,18744.994412058597,7235.956675763357
1,polygon,14,18889.812498117408,7694.547281616261
1,polygon,15,19010.49423649975,8153.137887469163
1,polygon,16,19155.312322558562,8877.22831776322
1,polygon,17,19476.473275226766,9667.975323115801
1,polygon,18,19621.266618525464,10048.057849274883
1,polygon,19,19548.869946876115,10658.90476631626
1,polygon,20,19058.76693185269,11049.49960864539
1,polygon,21,18793.267107411535,11387.40847611595
1,polygon,22,18551.903630646848,11701.18099591004
1,polygon,23,17948.494938735133,12256.316992468815
1,polygon,24,17682.99511429398,12352.862383174692
1,polygon,25,17345.08624682342,12425.271426204097
1,polygon,26,16862.35929329405,12280.453340145286
1,polygon,27,16355.495992088208,12014.953515704132
1,polygon,28,16114.132515323521,11677.044648233572
1,polygon,29,15945.178081588243,11387.40847611595
1,polygon,30,15727.950952500025,11242.59039005714
1,polygon,31,14979.7241745295,10977.090565615985
1,polygon,32,14545.269916353065,10711.59074117483
1,polygon,33,14062.542962823694,10421.954569057205
1,polygon,34,13628.08870464726,9939.227615527834
1,polygon,35,13531.543313941385,9553.04605270434
1,polygon,36,13434.997923235513,9215.13718523378
1,polygon,37,13410.861575559044,8973.773708469093
1,polygon,38,13362.588880206107,8684.13753635147
1,polygon,39,13338.452532529638,8418.637711910316
1,polygon,40,13338.452532529638,8056.592496763288
2,polygon,0,4033.8688335551956,12941.261677551169
2,polygon,1,4229.657451497114,12725.894197815058
2,polygon,2,4523.340378409994,12451.790132696371
2,polygon,3,4719.128996351914,12275.580376548643
2,polygon,4,4954.0753378822155,12021.05517322415
2,polygon,5,5110.706232235752,11844.845417076422
2,polygon,6,5365.231435560247,11629.47793734031
2,polygon,7,5639.335500678933,11374.952734015815
2,polygon,8,6011.333874768581,11081.269807102935
2,polygon,9,6363.7533870640345,10846.323465572632
2,polygon,10,6833.6460701246415,10630.955985836521
2,polygon,11,7127.328997037521,10513.48281507137
2,polygon,12,7421.0119239504,10376.430782512027
2,polygon,13,7616.8005418923185,10298.115335335258
2,polygon,14,7871.3257452168145,10278.536473541066
2,polygon,15,8125.850948541309,10278.536473541066
2,polygon,16,8321.639566483229,10258.957611746875
2,polygon,17,8537.00704621934,10200.2210263643
2,polygon,18,8811.111111338027,10180.642164570107
2,polygon,19,9065.636314662523,10121.90557918753
2,polygon,20,9359.3192415754,10102.326717393338
2,polygon,21,9633.423306694089,10082.747855599147
2,polygon,22,9985.842818989542,10043.590132010764
2,polygon,23,10181.631436931462,10024.011270216572
2,polygon,24,10788.576152551412,10024.011270216572
2,polygon,25,11003.943632287523,10043.590132010764
2,polygon,26,11375.94200637717,10121.90557918753
2,polygon,27,11571.730624319089,10141.484440981723
2,polygon,28,11943.728998408737,10298.115335335258
2,polygon,29,12452.779405057727,10611.377124042328
2,polygon,30,12824.777779147373,11277.058425044856
2,polygon,31,13138.039567854443,11668.635660928694
2,polygon,32,13177.197291442828,12001.476311429957
2,polygon,33,13196.776153237019,12902.103953962785
2,polygon,34,13235.933876825404,13783.152734701422
2,polygon,35,13275.091600413787,14213.887694173645
2,polygon,36,13294.67046220798,14762.095824411019
2,polygon,37,13294.67046220798,14977.46330414713
2,polygon,38,13235.933876825404,15192.83078388324
2,polygon,39,13138.039567854443,15545.250296178696
2,polygon,40,12903.093226324141,16132.616150004455
2,polygon,41,12687.725746588028,16504.6145240941
2,polygon,42,12511.5159904403,16798.29745100698
2,polygon,43,11747.940380466816,17698.92509353981
2,polygon,44,11415.099729965554,17992.608020452688
2,polygon,45,10906.049323316563,17992.608020452688
2,polygon,46,10240.368022314038,18070.923467629455
2,polygon,47,9731.317615665048,18110.08119121784
2,polygon,48,9496.371274134744,18149.23891480622
2,polygon,49,8987.320867485754,18168.817776600412
2,polygon,50,7734.27371265747,18364.606394542334
2,polygon,51,7049.013549860752,18521.237288895867
2,polygon,52,6246.280216298883,18756.18363042617
2,polygon,53,5933.018427591813,18834.49907760294
2,polygon,54,5326.073711971863,19069.44541913324
2,polygon,55,4640.813549175145,19265.234037075163
2,polygon,56,4327.551760468075,19363.12834604612
2,polygon,57,4131.763142526155,19461.02265501708
2,polygon,58,3877.2379392016605,19578.495825782233
2,polygon,59,3407.3452561410536,19617.653549370618
2,polygon,60,2819.979402315296,19617.653549370618
2,polygon,61,2134.7192395185784,19578.495825782233
2,polygon,62,1684.405418252164,19480.60151681127
2,polygon,63,1469.0379385160527,19382.707207840314
2,polygon,64,1155.776149808982,18912.814524779707
2,polygon,65,1018.7241172496383,18658.289321455213
2,polygon,66,959.9875318670627,18345.02753274814
2,polygon,67,881.6720846902949,17835.97712609915
2,polygon,68,842.5143611019109,17385.663304832735
2,polygon,69,822.935499307719,17150.716963302435
2,polygon,70,881.6720846902949,16857.034036389556
2,polygon,71,1097.039564426406,16367.562491534756
2,polygon,72,1331.9859059567093,15799.775499503192
2,polygon,73,1566.9322474870123,15466.934849001927
2,polygon,74,1703.9842800463557,15271.146231060009
2,polygon,75,2036.8249305476188,14938.305580558746
2,polygon,76,2487.138751814033,14507.570621086523
2,polygon,77,2898.294849492064,14233.466555967836
2,polygon,78,3211.5566381991343,13920.204767260766
2,polygon,79,3544.3972887003974,13626.521840347887
2,polygon,80,3857.659077407468,13293.681189846624
2,polygon,81,3955.553386378428,13117.471433698896
