index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,2212.0939201983224,9393.299180801758
0,rectangle,1,2212.0939201983224,13446.151827490386
0,rectangle,2,5572.996115013282,13446.151827490386
0,rectangle,3,5572.996115013282,9393.299180801758
1,rectangle,0,6396.746652958125,2605.59474813625
1,rectangle,1,6396.746652958125,8503.648599821328
1,rectangle,2,11536.950009733948,8503.648599821328
1,rectangle,3,11536.950009733948,2605.59474813625
2,rectangle,0,6528.546739029301,9393.299180801758
2,rectangle,1,6528.546739029301,19541.905808282227
2,rectangle,2,16117.003000707275,19541.905808282227
2,rectangle,3,16117.003000707275,9393.299180801758
3,rectangle,0,16611.253323474182,12721.251354098924
3,rectangle,1,16611.253323474182,18388.655055159445
3,rectangle,2,20697.055991680605,18388.655055159445
3,rectangle,3,20697.055991680605,12721.251354098924
4,rectangle,0,12854.950870445697,1715.9441671558188
4,rectangle,1,12854.950870445697,7416.297889734135
4,rectangle,2,18094.0042917749,7416.297889734135
4,rectangle,3,18094.0042917749,1715.9441671558188
