index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,5361.848420803914,3858.9453217778855
0,polygon,1,5494.170404819421,3594.3013537468732
0,polygon,2,5758.814372850432,2579.8328096279956
0,polygon,3,6089.619332889197,1918.2228895504666
0,polygon,4,6420.424292927962,1410.9886174910273
0,polygon,5,6618.90726895122,1080.1836574522624
0,polygon,6,7059.980549002907,815.5396894212511
0,polygon,7,7964.180773108863,595.003049395408
0,polygon,8,8890.434661217405,639.1103774005762
0,polygon,9,9287.400613263922,727.3250334109136
0,polygon,10,9552.044581294933,749.378697413498
0,polygon,11,9860.795877331113,815.5396894212511
0,polygon,12,10390.083813393137,881.7006814290037
0,polygon,13,11272.23037349651,1014.0226654445098
0,polygon,14,11823.571973561116,1146.3446494600155
0,polygon,15,12154.376933599882,1344.8276254832742
0,polygon,16,12463.128229636062,1741.7935775297917
0,polygon,17,12904.201509687748,3109.1207456900192
0,polygon,18,13080.630821708422,3550.1940257417054
0,polygon,19,13102.684485711006,3880.9989857804694
0,polygon,20,12970.362501695501,5336.540809951034
0,polygon,21,12749.825861669658,6130.472714044069
0,polygon,22,12463.128229636062,6880.297290131935
0,polygon,23,12352.859909623141,7100.833930157778
0,polygon,24,12176.430597602466,7409.58522619396
0,polygon,25,12198.48426160505,7872.712170248229
0,polygon,26,11933.84029357404,9747.273610467895
0,polygon,27,11603.035333535274,10519.151850558346
0,polygon,28,11095.801061475835,11092.547114625539
0,polygon,29,10809.103429442239,11423.352074664303
0,polygon,30,10588.566789416396,11621.835050687561
0,polygon,31,9882.849541333699,11974.693674728911
0,polygon,32,9199.185957253585,12107.015658744416
0,polygon,33,8934.541989222573,12151.122986749586
0,polygon,34,8603.737029183809,12151.122986749586
0,polygon,35,8052.3954291192,12040.854666736665
0,polygon,36,6905.604900984817,11710.049706697899
0,polygon,37,6663.014596956389,11489.513066672056
0,polygon,38,6420.424292927962,11158.708106633292
0,polygon,39,6310.15597291504,10960.225130610033
0,polygon,40,6177.833988899534,10541.20551456093
0,polygon,41,6001.404676878859,9967.81025049374
0,polygon,42,5869.082692863354,9394.414986426547
0,polygon,43,5604.438724832342,8909.234378369692
0,polygon,44,5141.311780778072,8402.000106310254
0,polygon,45,4920.775140752228,7916.819498253399
0,polygon,46,4567.9165167108795,7012.619274147442
0,polygon,47,4567.9165167108795,5535.023785974293
0,polygon,48,4700.238500726386,5160.111497930359
0,polygon,49,4810.506820739307,4719.038217878673
0,polygon,50,4964.882468757397,4454.394249847662
0,polygon,51,5075.150788770318,4233.857609821818
0,polygon,52,5251.580100790993,3969.213641790807
1,polygon,0,4876.6678127470595,10783.795818589359
1,polygon,1,5273.633764793577,10585.3128425661
1,polygon,2,5736.760708847848,10452.990858550595
1,polygon,3,6045.512004884028,10916.117802604864
1,polygon,4,6221.941316904703,11732.103370700484
1,polygon,5,6133.7266608943655,12393.713290778012
1,polygon,6,6111.672996891782,12680.410922811609
1,polygon,7,5979.3510128762755,13364.074506891722
1,polygon,8,5935.243684871107,13584.611146917565
1,polygon,9,5780.868036853017,13937.469770958915
1,polygon,10,5582.385060829758,14334.435723005432
1,polygon,11,5450.063076814252,14577.02602703386
1,polygon,12,5251.580100790993,14929.88465107521
1,polygon,13,4898.721476749644,15238.635947111388
1,polygon,14,4700.238500726386,15370.957931126895
1,polygon,15,4457.648196697958,15415.065259132063
1,polygon,16,3928.360260635934,15415.065259132063
1,polygon,17,3112.3746925403148,15106.313963095881
1,polygon,18,2538.9794284731224,14929.88465107521
1,polygon,19,2318.44278844728,14709.348011049364
1,polygon,20,2053.798820416268,14334.435723005432
1,polygon,21,1767.1011883826718,14025.684426969252
1,polygon,22,1524.5108843542444,13672.825802927902
1,polygon,23,1480.403556349076,12967.108554845205
1,polygon,24,1722.993860377503,12371.659626775428
1,polygon,25,2009.6914924110993,12195.230314754754
1,polygon,26,2516.9257644705385,12018.80100273408
1,polygon,27,3046.2137005325617,11952.640010726327
1,polygon,28,3751.9309486152592,11930.586346723743
1,polygon,29,4060.68224465144,11864.42535471599
1,polygon,30,4391.487204690205,11665.942378692731
1,polygon,31,4678.184836723801,11445.405738666888
1,polygon,32,4832.560484741891,11224.869098641044
1,polygon,33,4876.6678127470595,10960.225130610033
