,index,axis-0,axis-1
0,0,10124,1791
1,0,15979,1791
2,0,15979,7572
3,0,10124,7572
4,1,1959,2345
5,1,7365,2345
6,1,7365,5575
7,1,1959,5575
8,2,8779,9682
9,2,12439,9682
10,2,12439,13081
11,2,8779,13081
