,index,axis-0,axis-1
0,0,13261,1759
1,0,21313,1759
2,0,21313,9292
3,0,13261,9292
4,1,1509,4783
5,1,10604,4783
6,1,10604,14222
7,1,1509,14222
8,2,11649,16015
9,2,19398,16015
10,2,19398,22238
11,2,11649,22238
