,index,axis-0,axis-1
0,0,8297,3497
1,0,13075,3497
2,0,13075,6346
3,0,8297,6346
4,1,1249,12822
5,1,10026,12822
6,1,10026,20287
7,1,1249,20287
8,2,15076,13194
9,2,18564,13194
10,2,18564,17529
11,2,15076,17529
