,index,axis-0,axis-1
0,0,7349,2398
1,0,15970,2398
2,0,15970,9292
3,0,7349,9292
4,1,1967,10732
5,1,9821,10732
6,1,9821,17439
7,1,1967,17439
8,2,11386,12079
9,2,15987,12079
10,2,15987,18511
11,2,11386,18511
