,index,axis-0,axis-1
0,0,5386,1802
1,0,13235,1802
2,0,13235,9428
3,0,5386,9428
4,1,2229,9486
5,1,3393,9486
6,1,3393,11424
7,1,2229,11424
8,2,7034,11791
9,2,11728,11791
10,2,11728,16985
11,2,7034,16985
