,index,axis-0,axis-1
0,0,12629,2499
1,0,18801,2499
2,0,18801,9364
3,0,12629,9364
4,1,2463,11299
5,1,8805,11299
6,1,8805,16799
7,1,2463,16799
8,2,14173,11331
9,2,21001,11331
10,2,21001,18905
11,2,14173,18905
