,index,axis-0,axis-1
0,0,9280,3151
1,0,15257,3151
2,0,15257,8705
3,0,9280,8705
4,1,845,3458
5,1,6567,3458
6,1,6567,7703
7,1,845,7703
8,2,7966,10889
9,2,12161,10889
10,2,12161,14758
11,2,7966,14758
